id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.069,0.070,0.070,0.071,0.069,0.003,0.004,0.004,0.002,0.004
,A2,0.069,0.070,0.070,0.071,0.069,0.003,0.004,0.004,0.002,0.004
SPL1,A3,0.802,0.203,0.068,1.076,0.266,0.736,0.138,0.002,1.007,0.201
,A4,0.801,0.203,0.068,1.072,0.266,0.734,0.138,0.002,1.003,0.200
SPL2,A5,0.792,0.206,0.070,1.091,0.264,0.725,0.140,0.004,1.022,0.198
,A6,0.790,0.206,0.070,1.090,0.264,0.723,0.140,0.005,1.022,0.198
SPL3,A7,0.787,0.209,0.063,1.070,0.257,0.720,0.144,-0.003,1.002,0.191
,A8,0.786,0.209,0.063,1.071,0.257,0.719,0.143,-0.002,1.002,0.192
SPL4,A9,0.418,0.138,0.064,0.599,0.161,0.351,0.073,-0.002,0.530,0.095
,A10,0.418,0.138,0.063,0.598,0.161,0.351,0.073,-0.003,0.530,0.096
SPL5,A11,0.886,0.225,0.072,1.255,0.287,0.819,0.159,0.006,1.187,0.221
,A12,0.884,0.225,0.072,1.254,0.286,0.818,0.159,0.006,1.185,0.221
SPL6,B1,1.087,0.257,0.069,1.566,0.336,1.020,0.191,0.003,1.497,0.270
,B2,1.085,0.256,0.069,1.565,0.336,1.019,0.191,0.003,1.497,0.270
SPL7,B3,0.245,0.108,0.070,0.320,0.117,0.179,0.042,0.004,0.252,0.051
,B4,0.245,0.108,0.070,0.321,0.117,0.178,0.042,0.004,0.253,0.051
SPL8,B5,1.014,0.236,0.066,1.425,0.310,0.947,0.171,0.000,1.356,0.245
,B6,1.012,0.236,0.066,1.424,0.310,0.946,0.171,0.000,1.356,0.245
SPL9,B7,0.355,0.125,0.066,0.514,0.143,0.289,0.059,0.001,0.445,0.077
,B8,0.355,0.125,0.066,0.514,0.143,0.288,0.059,0.001,0.446,0.078
SPL10,B9,0.677,0.190,0.064,0.909,0.226,0.610,0.125,-0.002,0.840,0.160
,B10,0.675,0.190,0.064,0.909,0.225,0.608,0.124,-0.002,0.840,0.160
BLK,B11,0.067,0.064,0.064,0.069,0.064,0.000,-0.001,-0.002,0.001,-0.001
,B12,0.067,0.064,0.064,0.069,0.064,0.000,-0.002,-0.002,0.001,-0.001
SPL11,C1,0.705,0.179,0.064,0.973,0.232,0.638,0.114,-0.002,0.905,0.166
,C2,0.702,0.179,0.064,0.970,0.231,0.635,0.113,-0.002,0.902,0.166
SPL12,C3,0.484,0.151,0.063,0.692,0.173,0.418,0.086,-0.003,0.623,0.108
,C4,0.484,0.151,0.063,0.692,0.174,0.418,0.086,-0.003,0.623,0.108
SPL13,C5,0.778,0.210,0.068,1.185,0.252,0.711,0.144,0.002,1.117,0.186
,C6,0.778,0.210,0.068,1.185,0.252,0.712,0.144,0.002,1.117,0.186
SPL14,C7,1.232,0.281,0.065,1.755,0.361,1.165,0.215,-0.001,1.686,0.296
,C8,1.231,0.280,0.065,1.755,0.361,1.164,0.215,-0.001,1.687,0.296
SPL15,C9,0.767,0.205,0.067,1.024,0.250,0.701,0.139,0.001,0.955,0.184
,C10,0.774,0.206,0.066,1.023,0.249,0.708,0.140,0.001,0.955,0.184
SPL16,C11,0.773,0.203,0.068,1.119,0.253,0.706,0.137,0.003,1.051,0.187
,C12,0.774,0.203,0.068,1.121,0.253,0.707,0.137,0.003,1.052,0.187
SPL17,D1,0.795,0.206,0.063,1.067,0.254,0.729,0.140,-0.003,0.998,0.188
,D2,0.794,0.206,0.063,1.067,0.254,0.728,0.140,-0.003,0.998,0.189
SPL18,D3,0.337,0.118,0.063,0.463,0.135,0.270,0.052,-0.003,0.394,0.070
,D4,0.338,0.118,0.062,0.464,0.135,0.271,0.053,-0.003,0.396,0.070
SPL19,D5,0.646,0.174,0.063,0.919,0.211,0.579,0.109,-0.003,0.851,0.146
,D6,0.643,0.174,0.063,0.916,0.211,0.576,0.108,-0.003,0.847,0.145
SPL20,D7,0.933,0.246,0.067,1.307,0.286,0.867,0.180,0.001,1.238,0.221
,D8,0.930,0.244,0.066,1.306,0.286,0.863,0.179,0.001,1.237,0.220
BLK,D9,0.064,0.063,0.064,0.066,0.063,-0.003,-0.002,-0.002,-0.003,-0.002
,D10,0.064,0.063,0.064,0.066,0.063,-0.003,-0.003,-0.002,-0.003,-0.002
SPL21,D11,0.661,0.180,0.067,0.894,0.218,0.595,0.115,0.002,0.826,0.153
,D12,0.654,0.179,0.067,0.885,0.216,0.588,0.113,0.002,0.816,0.151
SPL22,E1,0.805,0.213,0.063,1.143,0.250,0.738,0.148,-0.003,1.074,0.184
,E2,0.805,0.213,0.063,1.143,0.250,0.739,0.147,-0.003,1.074,0.184
SPL23,E3,0.878,0.217,0.065,1.278,0.270,0.811,0.151,-0.000,1.210,0.204
,E4,0.878,0.217,0.065,1.279,0.270,0.811,0.151,-0.000,1.211,0.204
SPL24,E5,0.574,0.164,0.064,0.871,0.194,0.507,0.098,-0.001,0.803,0.128
,E6,0.575,0.164,0.064,0.873,0.194,0.508,0.098,-0.001,0.805,0.129
SPL25,E7,0.648,0.173,0.065,0.968,0.212,0.581,0.108,-0.001,0.900,0.147
,E8,0.648,0.173,0.065,0.969,0.213,0.582,0.108,-0.000,0.900,0.147
SPL26,E9,0.406,0.139,0.068,0.606,0.155,0.340,0.073,0.003,0.538,0.089
,E10,0.406,0.139,0.069,0.607,0.155,0.340,0.073,0.003,0.538,0.089
SPL27,E11,1.184,0.274,0.065,1.796,0.343,1.117,0.208,-0.001,1.727,0.277
,E12,1.185,0.274,0.065,1.798,0.343,1.118,0.208,-0.001,1.730,0.277
SPL28,F1,0.761,0.206,0.065,1.161,0.238,0.694,0.140,-0.001,1.093,0.173
,F2,0.762,0.205,0.064,1.162,0.238,0.695,0.140,-0.002,1.093,0.172
SPL29,F3,,,,,,?????,?????,?????,?????,?????
,F4,,,,,,?????,?????,?????,?????,?????
SPL30,F5,,,,,,?????,?????,?????,?????,?????
