id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.063,0.063,0.064,0.062,0.063,0.002,0.002,0.002,0.003,0.002
,A2,0.063,0.063,0.064,0.063,0.063,0.002,0.002,0.002,0.003,0.002
SPL1,A3,0.061,0.060,0.060,0.063,0.059,-0.000,-0.001,-0.002,0.003,-0.002
,A4,0.061,0.059,0.059,0.063,0.059,-0.000,-0.002,-0.003,0.003,-0.002
SPL2,A5,0.068,0.060,0.057,0.075,0.060,0.008,-0.001,-0.005,0.015,-0.001
,A6,0.068,0.060,0.058,0.075,0.060,0.008,-0.001,-0.005,0.015,-0.001
SPL3,A7,0.064,0.060,0.059,0.067,0.060,0.003,-0.001,-0.003,0.007,-0.001
,A8,0.064,0.060,0.059,0.067,0.060,0.003,-0.001,-0.003,0.007,-0.001
SPL4,A9,0.059,0.058,0.058,0.062,0.058,-0.001,-0.003,-0.005,0.002,-0.003
,A10,0.060,0.058,0.058,0.062,0.058,-0.001,-0.003,-0.005,0.002,-0.003
SPL5,A11,0.062,0.058,0.057,0.067,0.058,0.002,-0.003,-0.006,0.007,-0.003
,A12,0.062,0.058,0.057,0.067,0.058,0.002,-0.003,-0.006,0.007,-0.003
SPL6,B1,0.065,0.061,0.061,0.068,0.061,0.004,0.000,-0.001,0.008,0.000
,B2,0.064,0.061,0.061,0.068,0.061,0.004,0.000,-0.001,0.008,0.000
SPL7,B3,0.081,0.065,0.060,0.095,0.065,0.021,0.004,-0.003,0.035,0.004
,B4,0.082,0.065,0.060,0.095,0.065,0.021,0.004,-0.003,0.035,0.004
SPL8,B5,0.066,0.060,0.059,0.071,0.060,0.005,-0.001,-0.004,0.011,-0.001
,B6,0.066,0.060,0.058,0.071,0.060,0.005,-0.001,-0.004,0.011,-0.001
SPL9,B7,0.074,0.062,0.058,0.086,0.062,0.013,0.001,-0.004,0.027,0.001
,B8,0.074,0.062,0.058,0.086,0.062,0.013,0.001,-0.004,0.026,0.001
SPL10,B9,0.060,0.058,0.058,0.062,0.058,-0.001,-0.003,-0.005,0.002,-0.003
,B10,0.059,0.058,0.058,0.062,0.058,-0.001,-0.003,-0.005,0.003,-0.003
BLK,B11,0.059,0.058,0.060,0.057,0.058,-0.002,-0.002,-0.002,-0.003,-0.002
,B12,0.059,0.059,0.060,0.057,0.059,-0.002,-0.002,-0.002,-0.003,-0.002
SPL11,C1,0.072,0.064,0.060,0.081,0.063,0.011,0.003,-0.003,0.021,0.002
,C2,0.072,0.064,0.060,0.081,0.063,0.011,0.003,-0.002,0.021,0.002
SPL12,C3,0.071,0.062,0.057,0.081,0.061,0.010,0.001,-0.005,0.021,-0.000
,C4,0.071,0.062,0.057,0.081,0.060,0.010,0.001,-0.005,0.021,-0.000
SPL13,C5,0.078,0.071,0.068,0.085,0.070,0.017,0.010,0.005,0.025,0.009
,C6,0.078,0.071,0.068,0.085,0.070,0.017,0.010,0.005,0.025,0.009
SPL14,C7,0.063,0.059,0.058,0.068,0.059,0.002,-0.002,-0.004,0.008,-0.002
,C8,0.063,0.059,0.058,0.068,0.059,0.002,-0.001,-0.004,0.008,-0.002
SPL15,C9,0.075,0.063,0.059,0.086,0.063,0.014,0.002,-0.003,0.027,0.002
,C10,0.075,0.063,0.059,0.086,0.063,0.014,0.002,-0.004,0.027,0.002
SPL16,C11,0.070,0.061,0.058,0.078,0.060,0.009,0.000,-0.004,0.019,-0.000
,C12,0.070,0.061,0.058,0.078,0.061,0.009,0.000,-0.004,0.019,-0.000
SPL17,D1,0.071,0.061,0.058,0.079,0.061,0.010,0.000,-0.004,0.019,-0.000
,D2,0.071,0.061,0.058,0.079,0.061,0.010,0.000,-0.004,0.019,-0.000
SPL18,D3,0.066,0.063,0.060,0.074,0.061,0.005,0.002,-0.002,0.015,0.001
,D4,0.066,0.063,0.060,0.074,0.061,0.005,0.002,-0.002,0.014,0.001
SPL19,D5,0.082,0.064,0.057,0.099,0.064,0.021,0.003,-0.005,0.039,0.003
,D6,0.082,0.064,0.057,0.099,0.064,0.021,0.003,-0.005,0.039,0.003
SPL20,D7,0.070,0.062,0.058,0.079,0.061,0.009,0.001,-0.004,0.019,0.000
,D8,0.070,0.062,0.058,0.079,0.061,0.009,0.001,-0.004,0.019,0.000
BLK,D9,0.061,0.061,0.063,0.059,0.061,0.000,0.000,0.000,-0.000,0.000
,D10,0.061,0.061,0.063,0.059,0.061,0.000,0.000,0.000,-0.000,0.000
SPL21,D11,0.073,0.066,0.063,0.081,0.066,0.013,0.005,0.001,0.021,0.005
,D12,0.074,0.066,0.063,0.081,0.066,0.013,0.005,0.001,0.022,0.005
SPL22,E1,0.072,0.061,0.058,0.080,0.061,0.011,-0.000,-0.004,0.021,0.000
,E2,0.072,0.061,0.058,0.080,0.061,0.011,0.000,-0.005,0.021,-0.000
SPL23,E3,0.079,0.064,0.057,0.094,0.063,0.018,0.004,-0.005,0.034,0.002
,E4,0.079,0.064,0.058,0.094,0.063,0.018,0.003,-0.004,0.034,0.002
SPL24,E5,0.060,0.059,0.059,0.060,0.058,-0.001,-0.002,-0.003,0.000,-0.003
,E6,0.060,0.059,0.059,0.060,0.058,-0.001,-0.002,-0.003,0.000,-0.003
SPL25,E7,0.102,0.070,0.060,0.122,0.071,0.042,0.009,-0.002,0.063,0.011
,E8,0.102,0.070,0.061,0.122,0.071,0.042,0.009,-0.002,0.063,0.011
SPL26,E9,0.118,0.070,0.059,0.145,0.074,0.057,0.009,-0.004,0.085,0.013
,E10,0.118,0.070,0.059,0.145,0.074,0.057,0.009,-0.004,0.085,0.013
