id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.063,0.063,0.064,0.065,0.063,-0.002,-0.002,-0.002,-0.002,-0.002
,A2,0.064,0.064,0.064,0.065,0.063,-0.001,-0.002,-0.002,-0.002,-0.002
SPL1,A3,0.227,0.097,0.067,0.339,0.107,0.162,0.032,0.002,0.272,0.042
,A4,0.228,0.097,0.067,0.340,0.107,0.162,0.032,0.002,0.273,0.042
SPL2,A5,0.169,0.084,0.065,0.257,0.091,0.104,0.019,-0.001,0.190,0.026
,A6,0.169,0.085,0.065,0.257,0.091,0.104,0.019,-0.000,0.190,0.026
SPL3,A7,0.077,0.064,0.062,0.090,0.065,0.012,-0.001,-0.004,0.023,0.001
,A8,0.077,0.065,0.062,0.091,0.065,0.012,-0.000,-0.003,0.024,0.001
SPL4,A9,0.179,0.085,0.064,0.257,0.092,0.114,0.019,-0.001,0.190,0.027
,A10,0.178,0.085,0.064,0.256,0.092,0.113,0.019,-0.001,0.189,0.028
SPL5,A11,0.153,0.080,0.063,0.197,0.086,0.088,0.015,-0.003,0.130,0.021
,A12,0.153,0.081,0.063,0.197,0.087,0.088,0.015,-0.002,0.131,0.022
SPL6,B1,0.283,0.107,0.064,0.393,0.120,0.218,0.042,-0.002,0.326,0.055
,B2,0.283,0.108,0.064,0.393,0.120,0.218,0.042,-0.001,0.326,0.055
SPL7,B3,0.168,0.083,0.064,0.236,0.090,0.103,0.017,-0.002,0.169,0.025
,B4,0.167,0.083,0.064,0.237,0.090,0.102,0.017,-0.001,0.170,0.025
SPL8,B5,0.246,0.099,0.067,0.347,0.112,0.181,0.033,0.002,0.280,0.047
,B6,0.246,0.099,0.068,0.347,0.112,0.180,0.034,0.002,0.281,0.048
SPL9,B7,0.078,0.066,0.063,0.090,0.067,0.013,0.001,-0.002,0.023,0.002
,B8,0.078,0.066,0.064,0.090,0.067,0.013,0.001,-0.002,0.023,0.002
SPL10,B9,0.227,0.097,0.065,0.359,0.105,0.162,0.031,-0.001,0.292,0.040
,B10,0.227,0.097,0.065,0.358,0.105,0.162,0.031,-0.000,0.292,0.041
BLK,B11,0.066,0.066,0.065,0.067,0.065,0.001,0.001,-0.000,0.000,0.000
,B12,0.065,0.066,0.065,0.068,0.065,0.000,0.000,0.000,0.001,0.000
SPL11,C1,0.186,0.084,0.062,0.274,0.093,0.121,0.019,-0.003,0.207,0.029
,C2,0.187,0.084,0.063,0.273,0.094,0.121,0.019,-0.003,0.207,0.029
SPL12,C3,0.139,0.076,0.062,0.199,0.081,0.074,0.010,-0.003,0.132,0.016
,C4,0.139,0.076,0.062,0.199,0.081,0.073,0.010,-0.003,0.132,0.016
SPL13,C5,0.129,0.078,0.067,0.175,0.082,0.063,0.013,0.002,0.108,0.017
,C6,0.129,0.078,0.067,0.177,0.083,0.063,0.013,0.002,0.111,0.018
SPL14,C7,0.083,0.067,0.063,0.104,0.068,0.018,0.002,-0.003,0.037,0.003
,C8,0.083,0.067,0.063,0.104,0.068,0.018,0.002,-0.003,0.037,0.003
SPL15,C9,0.159,0.083,0.067,0.235,0.089,0.093,0.018,0.002,0.168,0.025
,C10,0.159,0.084,0.067,0.235,0.090,0.093,0.018,0.002,0.168,0.025
SPL16,C11,0.412,0.132,0.069,0.656,0.155,0.347,0.067,0.004,0.589,0.090
,C12,0.412,0.132,0.070,0.656,0.155,0.346,0.067,0.004,0.589,0.090
SPL17,D1,0.506,0.155,0.070,0.740,0.183,0.440,0.090,0.004,0.673,0.118
