id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.067,0.067,0.067,0.069,0.067,0.003,0.003,0.003,0.003,0.003
,A2,0.067,0.067,0.067,0.069,0.067,0.003,0.003,0.003,0.003,0.003
SPL1,A3,0.248,0.112,0.072,0.337,0.123,0.184,0.048,0.008,0.271,0.059
,A4,0.248,0.113,0.073,0.336,0.122,0.184,0.049,0.009,0.270,0.058
SPL2,A5,0.610,0.169,0.064,0.825,0.210,0.546,0.105,0.000,0.759,0.146
,A6,0.607,0.168,0.064,0.823,0.210,0.543,0.104,0.000,0.758,0.146
SPL3,A7,0.427,0.129,0.063,0.568,0.162,0.363,0.065,-0.001,0.502,0.099
,A8,0.428,0.130,0.064,0.568,0.162,0.364,0.066,-0.001,0.502,0.098
SPL4,A9,0.311,0.112,0.064,0.422,0.132,0.247,0.048,-0.000,0.357,0.068
,A10,0.311,0.112,0.064,0.422,0.132,0.247,0.048,0.000,0.356,0.068
SPL5,A11,0.455,0.137,0.067,0.648,0.169,0.391,0.073,0.003,0.582,0.106
,A12,0.454,0.137,0.067,0.647,0.169,0.390,0.073,0.003,0.582,0.106
SPL6,B1,0.206,0.090,0.065,0.294,0.100,0.142,0.026,0.001,0.228,0.037
,B2,0.206,0.090,0.065,0.293,0.100,0.141,0.026,0.001,0.228,0.037
SPL7,B3,1.048,0.254,0.065,1.512,0.318,0.984,0.190,0.001,1.446,0.254
,B4,1.045,0.254,0.065,1.509,0.318,0.981,0.190,0.001,1.444,0.254
SPL8,B5,0.532,0.151,0.065,0.701,0.186,0.467,0.087,0.001,0.635,0.123
,B6,0.531,0.151,0.065,0.701,0.187,0.467,0.087,0.001,0.635,0.123
SPL9,B7,0.927,0.216,0.064,1.375,0.285,0.863,0.152,-0.000,1.309,0.222
,B8,0.925,0.216,0.064,1.374,0.286,0.861,0.152,0.000,1.308,0.222
SPL10,B9,0.391,0.131,0.064,0.525,0.149,0.327,0.067,0.000,0.459,0.086
,B10,0.390,0.131,0.064,0.524,0.149,0.326,0.067,0.000,0.458,0.085
BLK,B11,0.063,0.063,0.063,0.065,0.063,-0.001,-0.001,-0.001,-0.001,-0.001
,B12,0.063,0.063,0.063,0.065,0.063,-0.001,-0.001,-0.001,-0.001,-0.001
SPL11,C1,0.569,0.161,0.064,0.759,0.196,0.505,0.097,-0.000,0.693,0.132
,C2,0.565,0.160,0.064,0.756,0.195,0.501,0.096,0.000,0.690,0.131
SPL12,C3,0.631,0.175,0.064,0.850,0.212,0.567,0.111,0.000,0.784,0.148
,C4,0.629,0.175,0.064,0.849,0.212,0.565,0.111,0.000,0.783,0.148
SPL13,C5,0.569,0.158,0.064,0.770,0.193,0.505,0.094,-0.000,0.704,0.129
,C6,0.568,0.158,0.064,0.770,0.193,0.504,0.094,-0.000,0.704,0.129
SPL14,C7,0.391,0.127,0.065,0.555,0.149,0.327,0.064,0.001,0.489,0.085
,C8,0.389,0.127,0.065,0.553,0.149,0.325,0.063,0.001,0.487,0.085
SPL15,C9,0.445,0.134,0.062,0.650,0.158,0.381,0.070,-0.002,0.584,0.094
,C10,0.444,0.134,0.062,0.650,0.158,0.380,0.070,-0.002,0.584,0.095
SPL16,C11,0.729,0.190,0.065,1.032,0.233,0.664,0.126,0.001,0.966,0.169
,C12,0.727,0.190,0.065,1.033,0.233,0.662,0.126,0.001,0.968,0.169
SPL17,D1,0.670,0.177,0.064,0.916,0.219,0.606,0.113,-0.001,0.851,0.155
,D2,0.670,0.177,0.064,0.917,0.220,0.605,0.113,-0.000,0.851,0.156
SPL18,D3,0.415,0.135,0.067,0.591,0.156,0.350,0.071,0.003,0.525,0.092
,D4,0.412,0.135,0.067,0.590,0.156,0.348,0.071,0.003,0.524,0.093
SPL19,D5,1.020,0.261,0.063,1.566,0.310,0.956,0.197,-0.001,1.500,0.246
,D6,1.019,0.260,0.064,1.562,0.310,0.955,0.197,-0.001,1.496,0.246
SPL20,D7,0.557,0.160,0.066,0.788,0.193,0.492,0.096,0.002,0.722,0.129
,D8,0.556,0.160,0.066,0.788,0.192,0.492,0.096,0.002,0.722,0.129
BLK,D9,0.062,0.062,0.062,0.064,0.062,-0.002,-0.002,-0.002,-0.002,-0.002
,D10,0.062,0.062,0.062,0.064,0.061,-0.002,-0.002,-0.002,-0.002,-0.002
SPL21,D11,0.576,0.158,0.065,0.817,0.196,0.512,0.094,0.001,0.751,0.132
,D12,0.575,0.158,0.065,0.815,0.196,0.511,0.094,0.001,0.749,0.132
SPL22,E1,0.592,0.166,0.064,0.841,0.197,0.527,0.102,0.000,0.775,0.133
,E2,0.591,0.166,0.064,0.842,0.198,0.527,0.102,0.000,0.776,0.134
SPL23,E3,1.020,0.244,0.063,1.381,0.308,0.956,0.180,-0.001,1.315,0.244
,E4,1.020,0.244,0.063,1.380,0.308,0.956,0.180,-0.001,1.314,0.245
SPL24,E5,0.141,0.079,0.062,0.181,0.083,0.076,0.015,-0.002,0.115,0.019
,E6,0.141,0.079,0.063,0.181,0.083,0.077,0.015,-0.001,0.116,0.019
SPL25,E7,1.174,0.278,0.070,1.750,0.352,1.110,0.214,0.006,1.684,0.289
,E8,1.171,0.278,0.071,1.748,0.353,1.107,0.214,0.007,1.682,0.289
SPL26,E9,1.683,0.375,0.066,2.395,0.477,1.618,0.311,0.002,2.329,0.413
,E10,1.676,0.375,0.067,2.391,0.477,1.612,0.311,0.002,2.325,0.413
SPL27,E11,0.439,0.144,0.071,0.640,0.166,0.375,0.080,0.007,0.574,0.103
,E12,0.439,0.144,0.071,0.640,0.167,0.375,0.081,0.007,0.574,0.103
SPL28,F1,0.504,0.149,0.063,0.724,0.176,0.440,0.085,-0.001,0.658,0.113
,F2,0.503,0.149,0.063,0.723,0.176,0.439,0.085,-0.001,0.657,0.113
SPL29,F3,0.458,0.138,0.064,0.684,0.164,0.394,0.074,-0.000,0.618,0.100
,F4,0.458,0.138,0.064,0.683,0.164,0.393,0.074,-0.000,0.617,0.100
SPL30,F5,1.629,0.364,0.064,2.506,0.462,1.565,0.300,-0.000,2.440,0.399
,F6,1.626,0.363,0.064,2.506,0.462,1.562,0.299,0.000,2.440,0.398
BLK,F7,,,,,,?????,?????,?????,?????,?????
,F8,,,,,,?????,?????,?????,?????,?????
SPL31,F9,,,,,,?????,?????,?????,?????,?????
,F10,,,,,,?????,?????,?????,?????,?????
SPL32,F11,,,,,,?????,?????,?????,?????,?????
,F12,,,,,,?????,?????,?????,?????,?????
SPL33,G1,,,,,,?????,?????,?????,?????,?????
,G2,,,,,,?????,?????,?????,?????,?????
SPL34,G3,,,,,,?????,?????,?????,?????,?????
,G4,,,,,,?????,?????,?????,?????,?????
SPL35,G5,,,,,,?????,?????,?????,?????,?????
,G6,,,,,,?????,?????,?????,?????,?????
SPL36,G7,,,,,,?????,?????,?????,?????,?????
,G8,,,,,,?????,?????,?????,?????,?????
SPL37,G9,,,,,,?????,?????,?????,?????,?????
,G10,,,,,,?????,?????,?????,?????,?????
SPL38,G11,,,,,,?????,?????,?????,?????,?????
,G12,,,,,,?????,?????,?????,?????,?????
SPL39,H1,,,,,,?????,?????,?????,?????,?????
,H2,,,,,,?????,?????,?????,?????,?????
SPL40,H3,,,,,,?????,?????,?????,?????,?????
,H4,,,,,,?????,?????,?????,?????,?????
BLK,H5,,,,,,?????,?????,?????,?????,?????
,H6,,,,,,?????,?????,?????,?????,?????
SPL41,H7,,,,,,?????,?????,?????,?????,?????
,H8,,,,,,?????,?????,?????,?????,?????
SPL42,H9,,,,,,?????,?????,?????,?????,?????
,H10,,,,,,?????,?????,?????,?????,?????
SPL43,H11,,,,,,?????,?????,?????,?????,?????
,H12,,,,,,?????,?????,?????,?????,?????

