id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
,F6,0.073,0.068,0.064,0.081,0.066,0.008,0.003,-0.001,0.015,0.002
BLK,F7,0.067,0.068,0.068,0.069,0.067,0.003,0.003,0.003,0.003,0.003
,F8,0.068,0.068,0.068,0.070,0.068,0.003,0.003,0.003,0.003,0.003
SPL31,F9,0.067,0.067,0.067,0.070,0.067,0.003,0.002,0.002,0.003,0.002
,F10,0.067,0.067,0.067,0.070,0.067,0.003,0.002,0.002,0.003,0.002
SPL32,F11,0.071,0.068,0.068,0.074,0.068,0.006,0.003,0.003,0.008,0.004
,F12,0.071,0.068,0.068,0.074,0.069,0.006,0.004,0.003,0.008,0.004
SPL33,G1,0.074,0.066,0.064,0.080,0.067,0.009,0.001,-0.001,0.013,0.002
,G2,0.074,0.066,0.064,0.080,0.067,0.009,0.001,-0.001,0.013,0.002
SPL34,G3,0.064,0.064,0.064,0.066,0.064,-0.000,-0.001,-0.001,0.000,-0.001
,G4,0.064,0.064,0.065,0.066,0.064,-0.000,-0.001,-0.001,0.000,-0.001
SPL35,G5,0.074,0.068,0.066,0.083,0.068,0.010,0.004,0.001,0.016,0.004
,G6,0.074,0.068,0.067,0.083,0.068,0.010,0.003,0.002,0.016,0.003
SPL36,G7,0.072,0.065,0.063,0.079,0.065,0.008,0.000,-0.003,0.013,0.000
,G8,0.072,0.065,0.063,0.079,0.065,0.008,0.000,-0.003,0.013,0.001
SPL37,G9,,,,,,?????,?????,?????,?????,?????
,G10,,,,,,?????,?????,?????,?????,?????
SPL38,G11,,,,,,?????,?????,?????,?????,?????
,G12,,,,,,?????,?????,?????,?????,?????
SPL39,H1,,,,,,?????,?????,?????,?????,?????
,H2,,,,,,?????,?????,?????,?????,?????
SPL40,H3,,,,,,?????,?????,?????,?????,?????
,H4,,,,,,?????,?????,?????,?????,?????
BLK,H5,,,,,,?????,?????,?????,?????,?????
,H6,,,,,,?????,?????,?????,?????,?????
SPL41,H7,,,,,,?????,?????,?????,?????,?????
,H8,,,,,,?????,?????,?????,?????,?????
SPL42,H9,,,,,,?????,?????,?????,?????,?????
,H10,,,,,,?????,?????,?????,?????,?????
SPL43,H11,,,,,,?????,?????,?????,?????,?????
,H12,,,,,,?????,?????,?????,?????,?????

