id,position,abs_663,abs_630,abs_750,abs_470,abs_646,blank_corrected_abs_663,blank_corrected_abs_630,blank_corrected_abs_750,blank_corrected_abs_470,blank_corrected_abs_646
BLK,A1,0.069,0.069,0.069,0.070,0.068,0.004,0.005,0.005,0.004,0.005
,A2,0.068,0.068,0.068,0.069,0.068,0.004,0.004,0.004,0.003,0.004
SPL1,A3,0.297,0.127,0.074,0.455,0.135,0.232,0.063,0.010,0.389,0.071
,A4,0.296,0.127,0.074,0.455,0.134,0.232,0.063,0.010,0.389,0.070
SPL2,A5,0.409,0.132,0.064,0.592,0.153,0.345,0.068,0.000,0.525,0.090
,A6,0.409,0.132,0.064,0.592,0.154,0.344,0.068,0.000,0.525,0.090
SPL3,A7,0.437,0.154,0.067,0.609,0.164,0.373,0.090,0.003,0.543,0.100
,A8,0.434,0.154,0.067,0.607,0.164,0.370,0.090,0.003,0.540,0.100
SPL4,A9,0.536,0.155,0.065,0.714,0.187,0.471,0.091,0.001,0.648,0.123
,A10,0.534,0.155,0.065,0.714,0.187,0.470,0.091,0.001,0.647,0.123
SPL5,A11,0.345,0.134,0.070,0.449,0.142,0.281,0.070,0.006,0.383,0.078
,A12,0.344,0.134,0.070,0.449,0.142,0.280,0.070,0.006,0.382,0.078
SPL6,B1,0.899,0.225,0.065,1.329,0.279,0.835,0.161,0.001,1.262,0.215
,B2,0.897,0.224,0.065,1.327,0.279,0.833,0.160,0.001,1.260,0.215
SPL7,B3,0.332,0.121,0.066,0.498,0.135,0.268,0.057,0.002,0.432,0.071
,B4,0.332,0.121,0.067,0.498,0.135,0.267,0.057,0.003,0.432,0.071
SPL8,B5,0.293,0.111,0.063,0.450,0.122,0.229,0.047,-0.001,0.383,0.058
,B6,0.293,0.111,0.063,0.450,0.122,0.228,0.047,-0.001,0.384,0.058
SPL9,B7,0.439,0.137,0.069,0.629,0.162,0.374,0.073,0.005,0.563,0.098
,B8,0.437,0.137,0.069,0.628,0.162,0.372,0.072,0.005,0.562,0.098
SPL10,B9,0.217,0.098,0.064,0.308,0.104,0.153,0.034,-0.000,0.242,0.041
,B10,0.217,0.098,0.064,0.308,0.104,0.153,0.034,-0.000,0.242,0.040
BLK,B11,0.063,0.063,0.062,0.065,0.062,-0.002,-0.002,-0.002,-0.001,-0.002
,B12,0.063,0.063,0.062,0.065,0.062,-0.002,-0.002,-0.002,-0.002,-0.002
SPL11,C1,0.621,0.177,0.064,0.869,0.208,0.556,0.113,-0.000,0.802,0.145
,C2,0.616,0.176,0.063,0.864,0.208,0.552,0.112,-0.001,0.798,0.144
SPL12,C3,0.545,0.159,0.069,0.724,0.191,0.481,0.095,0.005,0.658,0.128
,C4,0.544,0.159,0.069,0.723,0.191,0.480,0.095,0.005,0.656,0.127
SPL13,C5,0.250,0.112,0.067,0.377,0.113,0.186,0.048,0.003,0.311,0.050
,C6,0.249,0.112,0.067,0.377,0.114,0.185,0.047,0.003,0.311,0.050
SPL14,C7,0.068,0.065,0.064,0.073,0.065,0.003,0.001,-0.000,0.006,0.001
,C8,0.068,0.065,0.064,0.073,0.065,0.003,0.001,0.000,0.007,0.001
SPL15,C9,0.067,0.064,0.063,0.072,0.064,0.003,-0.000,-0.001,0.006,-0.000
,C10,0.067,0.064,0.063,0.072,0.064,0.003,-0.000,-0.001,0.006,0.000
SPL16,C11,0.270,0.106,0.067,0.393,0.118,0.206,0.042,0.003,0.326,0.054
,C12,0.268,0.106,0.067,0.392,0.118,0.203,0.042,0.003,0.326,0.054
SPL17,D1,0.286,0.118,0.064,0.457,0.121,0.222,0.054,0.000,0.391,0.057
,D2,0.285,0.117,0.064,0.456,0.121,0.220,0.053,-0.000,0.389,0.057
SPL18,D3,0.716,0.197,0.064,1.010,0.231,0.651,0.133,0.000,0.944,0.167
,D4,0.711,0.197,0.065,1.007,0.231,0.647,0.133,0.001,0.940,0.167
SPL19,D5,0.123,0.077,0.063,0.168,0.079,0.058,0.013,-0.001,0.101,0.015
,D6,0.123,0.078,0.064,0.168,0.079,0.059,0.014,-0.000,0.102,0.016
SPL20,D7,0.274,0.121,0.079,0.394,0.131,0.210,0.057,0.015,0.327,0.068
,D8,0.272,0.120,0.079,0.390,0.130,0.207,0.056,0.015,0.323,0.066
BLK,D9,0.063,0.063,0.063,0.066,0.063,-0.001,-0.001,-0.001,-0.001,-0.001
,D10,0.064,0.063,0.063,0.066,0.063,-0.001,-0.001,-0.001,-0.001,-0.001
SPL21,D11,0.068,0.065,0.064,0.072,0.065,0.003,0.001,-0.000,0.006,0.001
,D12,0.068,0.065,0.064,0.072,0.065,0.003,0.001,0.000,0.006,0.001
SPL22,E1,0.291,0.112,0.067,0.395,0.126,0.226,0.048,0.003,0.328,0.063
,E2,0.290,0.112,0.067,0.395,0.126,0.225,0.048,0.003,0.328,0.063
SPL23,E3,0.255,0.107,0.070,0.355,0.118,0.191,0.043,0.006,0.289,0.054
,E4,0.255,0.107,0.070,0.356,0.118,0.190,0.043,0.006,0.290,0.054
SPL24,E5,0.478,0.142,0.065,0.643,0.174,0.413,0.078,0.001,0.577,0.110
,E6,0.477,0.141,0.065,0.639,0.173,0.413,0.077,0.001,0.573,0.109
SPL25,E7,0.236,0.103,0.064,0.349,0.109,0.172,0.039,-0.000,0.283,0.045
,E8,0.236,0.103,0.064,0.349,0.109,0.171,0.039,-0.000,0.283,0.045
SPL26,E9,0.181,0.087,0.064,0.246,0.094,0.116,0.023,0.000,0.180,0.030
,E10,0.181,0.088,0.064,0.244,0.095,0.116,0.024,0.000,0.178,0.031
SPL27,E11,0.436,0.133,0.065,0.630,0.157,0.371,0.069,0.001,0.564,0.094
,E12,0.435,0.133,0.065,0.631,0.158,0.370,0.069,0.001,0.564,0.094
SPL28,F1,0.207,0.093,0.066,0.288,0.102,0.143,0.029,0.002,0.221,0.038
,F2,0.208,0.094,0.066,0.288,0.102,0.143,0.030,0.002,0.222,0.039
SPL29,F3,0.152,0.082,0.065,0.217,0.088,0.088,0.018,0.001,0.151,0.024
,F4,0.152,0.083,0.066,0.217,0.088,0.088,0.018,0.002,0.150,0.024
SPL30,F5,0.307,0.115,0.064,0.421,0.129,0.243,0.051,-0.000,0.354,0.065
,F6,0.307,0.115,0.064,0.420,0.129,0.242,0.051,-0.000,0.354,0.066
BLK,F7,0.063,0.062,0.062,0.066,0.062,-0.001,-0.002,-0.002,-0.001,-0.002
,F8,0.063,0.062,0.062,0.066,0.062,-0.001,-0.002,-0.002,-0.001,-0.002
SPL31,F9,0.082,0.070,0.067,0.094,0.070,0.018,0.006,0.003,0.028,0.007
,F10,0.082,0.070,0.067,0.094,0.070,0.018,0.006,0.003,0.028,0.007
SPL32,F11,0.107,0.072,0.063,0.137,0.074,0.042,0.008,-0.001,0.071,0.010
,F12,0.107,0.073,0.063,0.137,0.074,0.042,0.009,-0.001,0.071,0.011
SPL33,G1,0.107,0.072,0.063,0.137,0.074,0.042,0.008,-0.001,0.071,0.011
,G2,0.187,0.088,0.065,0.248,0.096,0.123,0.024,0.001,0.182,0.032
SPL34,G3,0.187,0.088,0.065,0.248,0.096,0.123,0.024,0.001,0.182,0.032
,G4,0.076,0.067,0.064,0.087,0.067,0.012,0.003,0.000,0.021,0.003
SPL35,G5,0.076,0.067,0.064,0.087,0.067,0.012,0.003,0.000,0.021,0.003
,G6,0.165,0.082,0.063,0.235,0.089,0.100,0.018,-0.001,0.169,0.025
SPL36,G7,0.164,0.082,0.064,0.235,0.089,0.100,0.018,-0.000,0.169,0.025
,G8,0.164,0.082,0.064,0.235,0.089,0.100,0.018,-0.000,0.168,0.025
SPL37,G9,0.338,0.129,0.070,0.465,0.139,0.273,0.065,0.006,0.399,0.076
,G10,0.337,0.129,0.069,0.465,0.140,0.273,0.065,0.005,0.398,0.076
SPL38,G11,,,,,,?????,?????,?????,?????,?????
,G12,,,,,,?????,?????,?????,?????,?????
SPL39,H1,,,,,,?????,?????,?????,?????,?????
,H2,,,,,,?????,?????,?????,?????,?????
SPL40,H3,,,,,,?????,?????,?????,?????,?????
,H4,,,,,,?????,?????,?????,?????,?????
BLK,H5,,,,,,?????,?????,?????,?????,?????
,H6,,,,,,?????,?????,?????,?????,?????
SPL41,H7,,,,,,?????,?????,?????,?????,?????
,H8,,,,,,?????,?????,?????,?????,?????
SPL42,H9,,,,,,?????,?????,?????,?????,?????
,H10,,,,,,?????,?????,?????,?????,?????
SPL43,H11,,,,,,?????,?????,?????,?????,?????
,H12,,,,,,?????,?????,?????,?????,?????

