"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.075,0.075,0.075,0.076,0.075,"0.002","0.002","0.002","0.002","0.002"
"","A2",0.075,0.075,0.076,0.076,0.075,"0.002","0.002","0.002","0.002","0.002"
"SPL1","A3",0.1,0.082,0.074,0.118,0.081,"0.027","0.008","0.000","0.044","0.008"
"","A4",0.101,0.082,0.074,0.117,0.081,"0.027","0.008","0.001","0.042","0.008"
"SPL2","A5",0.084,0.077,0.074,0.092,0.077,"0.011","0.004","0.000","0.018","0.004"
"","A6",0.084,0.077,0.074,0.092,0.077,"0.011","0.004","0.001","0.018","0.004"
"SPL3","A7",0.108,0.082,0.074,0.128,0.083,"0.035","0.008","0.001","0.054","0.010"
"","A8",0.108,0.081,0.073,0.128,0.083,"0.035","0.008","-0.000","0.054","0.010"
"SPL4","A9",0.094,0.081,0.076,0.107,0.081,"0.021","0.007","0.002","0.033","0.007"
"","A10",0.095,0.081,0.076,0.107,0.081,"0.022","0.007","0.002","0.033","0.008"
"SPL5","A11",0.096,0.078,0.072,0.114,0.078,"0.023","0.005","-0.001","0.039","0.005"
"","A12",0.097,0.079,0.072,0.114,0.078,"0.023","0.005","-0.002","0.040","0.005"
"SPL6","B1",0.08,0.073,0.07,0.088,0.073,"0.007","-0.001","-0.003","0.014","-0.000"
"","B2",0.08,0.073,0.07,0.088,0.073,"0.007","-0.000","-0.003","0.014","-0.000"
"SPL7","B3",0.086,0.075,0.072,0.096,0.075,"0.013","0.002","-0.002","0.021","0.002"
"","B4",0.086,0.075,0.072,0.096,0.076,"0.013","0.002","-0.002","0.021","0.003"
"SPL8","B5",0.098,0.077,0.07,0.114,0.078,"0.025","0.003","-0.003","0.039","0.004"
"","B6",0.098,0.077,0.07,0.114,0.078,"0.025","0.004","-0.003","0.039","0.004"
"SPL9","B7",0.111,0.084,0.076,0.131,0.085,"0.038","0.011","0.003","0.057","0.012"
"","B8",0.111,0.084,0.076,0.131,0.085,"0.038","0.011","0.003","0.057","0.012"
"SPL10","B9",0.092,0.077,0.071,0.11,0.076,"0.019","0.003","-0.003","0.036","0.003"
"","B10",0.092,0.077,0.071,0.11,0.077,"0.019","0.004","-0.003","0.036","0.003"
"BLK","B11",0.071,0.071,0.072,0.073,0.071,"-0.002","-0.002","-0.002","-0.002","-0.002"
"","B12",0.071,0.071,0.072,0.073,0.071,"-0.002","-0.002","-0.002","-0.002","-0.002"
"SPL11","C1",0.077,0.073,0.072,0.083,0.073,"0.004","-0.000","-0.002","0.008","-0.000"
"","C2",0.077,0.073,0.072,0.083,0.074,"0.004","0.000","-0.002","0.009","0.001"
"SPL12","C3",0.113,0.08,0.073,0.135,0.084,"0.040","0.006","-0.001","0.061","0.011"
"","C4",0.113,0.08,0.072,0.135,0.084,"0.040","0.006","-0.001","0.061","0.010"
"SPL13","C5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL14","C7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL15","C9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL16","C11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL17","D1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL18","D3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL19","D5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL20","D7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","D9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL21","D11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL22","E1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL23","E3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL24","E5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL25","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL26","E9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL27","E11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
