"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.072,0.072,0.072,0.074,0.072,"-0.000","-0.000","-0.000","-0.000","-0.000"
"","A2",0.072,0.072,0.072,0.074,0.072,"-0.000","-0.000","-0.000","-0.000","-0.000"
"SPL1","A3",0.094,0.081,0.077,0.106,0.082,"0.021","0.008","0.005","0.032","0.009"
"","A4",0.094,0.081,0.078,0.107,0.082,"0.021","0.008","0.005","0.032","0.010"
"SPL2","A5",0.09,0.08,0.075,0.102,0.08,"0.017","0.007","0.003","0.027","0.007"
"","A6",0.09,0.08,0.075,0.102,0.08,"0.017","0.007","0.003","0.027","0.007"
"SPL3","A7",0.088,0.078,0.076,0.099,0.08,"0.015","0.005","0.003","0.024","0.007"
"","A8",0.088,0.08,0.076,0.099,0.08,"0.016","0.007","0.003","0.024","0.007"
"SPL4","A9",0.082,0.077,0.075,0.089,0.077,"0.010","0.004","0.002","0.014","0.004"
"","A10",0.083,0.077,0.075,0.089,0.077,"0.010","0.004","0.002","0.014","0.004"
"SPL5","A11",0.233,0.107,0.083,0.311,0.121,"0.160","0.034","0.010","0.237","0.048"
"","A12",0.233,0.107,0.082,0.312,0.121,"0.160","0.035","0.009","0.237","0.049"
"SPL6","B1",0.097,0.077,0.07,0.113,0.078,"0.024","0.004","-0.002","0.038","0.005"
"","B2",0.097,0.077,0.071,0.113,0.078,"0.024","0.004","-0.002","0.038","0.005"
"SPL7","B3",0.155,0.084,0.069,0.193,0.091,"0.083","0.011","-0.004","0.118","0.019"
"","B4",0.156,0.084,0.069,0.193,0.091,"0.083","0.011","-0.004","0.119","0.018"
"SPL8","B5",0.14,0.085,0.072,0.174,0.09,"0.067","0.012","-0.000","0.100","0.017"
"","B6",0.14,0.085,0.072,0.174,0.09,"0.067","0.012","-0.000","0.100","0.017"
"SPL9","B7",0.087,0.077,0.074,0.095,0.077,"0.014","0.005","0.002","0.020","0.005"
"","B8",0.087,0.077,0.074,0.095,0.078,"0.014","0.005","0.002","0.020","0.005"
"SPL10","B9",0.114,0.085,0.078,0.141,0.088,"0.041","0.012","0.005","0.066","0.015"
"","B10",0.113,0.085,0.078,0.141,0.089,"0.040","0.012","0.005","0.067","0.016"
"BLK","B11",0.073,0.073,0.073,0.075,0.073,"0.000","0.000","0.000","0.000","0.000"
"","B12",0.073,0.074,0.073,0.075,0.073,"0.000","0.001","0.001","0.000","0.000"
"SPL11","C1",0.094,0.075,0.07,0.115,0.077,"0.022","0.002","-0.002","0.040","0.005"
"","C2",0.095,0.076,0.071,0.115,0.077,"0.022","0.003","-0.002","0.041","0.004"
"SPL12","C3",0.208,0.095,0.073,0.247,0.107,"0.135","0.022","0.000","0.172","0.035"
"","C4",0.208,0.096,0.073,0.248,0.108,"0.136","0.023","0.000","0.174","0.035"
"SPL13","C5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL14","C7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL15","C9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL16","C11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","C12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL17","D1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL18","D3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL19","D5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL20","D7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","D9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL21","D11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","D12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL22","E1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL23","E3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL24","E5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
