"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.071,0.071,0.07,0.075,0.071,"0.004","0.005","0.005","0.005","0.005"
"","A2",0.071,0.071,0.071,0.075,0.071,"0.005","0.006","0.005","0.006","0.006"
"SPL1","A3",0.304,0.113,0.069,0.392,0.13,"0.238","0.047","0.003","0.322","0.064"
"","A4",0.304,0.113,0.069,0.392,0.13,"0.238","0.047","0.004","0.322","0.064"
"SPL2","A5",0.502,0.158,0.077,0.704,0.186,"0.435","0.092","0.012","0.634","0.12"
"","A6",0.501,0.158,0.077,0.704,0.186,"0.435","0.092","0.012","0.634","0.12"
"SPL3","A7",1.251,0.272,0.067,1.745,0.372,"1.185","0.206","0.001","1.675","0.307"
"","A8",1.251,0.272,0.067,1.742,0.372,"1.184","0.206","0.002","1.673","0.306"
"SPL4","A9",0.897,0.218,0.067,1.319,0.282,"0.831","0.152","0.001","1.249","0.217"
"","A10",0.895,0.217,0.067,1.318,0.282,"0.829","0.152","0.001","1.249","0.216"
"SPL5","A11",0.258,0.106,0.063,0.352,0.115,"0.192","0.04","-0.002","0.282","0.049"
"","A12",0.258,0.106,0.064,0.352,0.115,"0.191","0.041","-0.002","0.282","0.049"
"SPL6","B1",0.949,0.225,0.072,1.384,0.299,"0.882","0.159","0.006","1.314","0.233"
"","B2",0.947,0.225,0.072,1.381,0.298,"0.881","0.159","0.006","1.311","0.232"
"SPL7","B3",0.23,0.104,0.067,0.316,0.111,"0.164","0.039","0.001","0.246","0.045"
"","B4",0.231,0.104,0.067,0.316,0.111,"0.164","0.039","0.001","0.246","0.045"
"SPL8","B5",0.55,0.147,0.065,0.764,0.19,"0.484","0.082","-0.001","0.694","0.124"
"","B6",0.55,0.148,0.065,0.764,0.19,"0.484","0.082","-0.001","0.694","0.124"
"SPL9","B7",0.758,0.198,0.064,1.038,0.244,"0.692","0.132","-0.002","0.968","0.178"
"","B8",0.757,0.198,0.064,1.036,0.243,"0.691","0.132","-0.002","0.966","0.178"
"SPL10","B9",0.857,0.217,0.064,1.334,0.26,"0.79","0.151","-0.002","1.264","0.194"
"","B10",0.857,0.217,0.064,1.334,0.26,"0.79","0.151","-0.002","1.264","0.194"
"BLK","B11",0.063,0.062,0.062,0.065,0.062,"-0.004","-0.003","-0.003","-0.005","-0.004"
"","B12",0.063,0.062,0.062,0.065,0.062,"-0.004","-0.004","-0.004","-0.004","-0.003"
"SPL11","C1",0.598,0.179,0.065,0.901,0.201,"0.532","0.113","-0.001","0.832","0.135"
"","C2",0.598,0.179,0.066,0.901,0.2,"0.531","0.113","0","0.831","0.134"
"SPL12","C3",0.652,0.205,0.063,0.969,0.219,"0.586","0.14","-0.002","0.899","0.153"
"","C4",0.653,0.206,0.064,0.969,0.219,"0.586","0.14","-0.002","0.899","0.153"
"SPL13","C5",0.579,0.161,0.064,0.86,0.198,"0.513","0.095","-0.002","0.79","0.132"
"","C6",0.579,0.161,0.064,0.861,0.198,"0.513","0.095","-0.001","0.791","0.132"
"SPL14","C7",0.435,0.139,0.067,0.622,0.161,"0.369","0.074","0.001","0.553","0.095"
"","C8",0.433,0.14,0.067,0.622,0.161,"0.367","0.074","0.001","0.553","0.095"
"SPL15","C9",0.472,0.151,0.073,0.716,0.176,"0.405","0.085","0.007","0.646","0.11"
"","C10",0.472,0.151,0.073,0.716,0.176,"0.406","0.085","0.007","0.647","0.11"
"SPL16","C11",0.889,0.218,0.068,1.367,0.281,"0.822","0.152","0.003","1.297","0.215"
"","C12",0.889,0.218,0.069,1.367,0.281,"0.823","0.152","0.003","1.297","0.215"
"SPL17","D1",0.984,0.236,0.068,1.536,0.301,"0.918","0.17","0.002","1.467","0.236"
"","D2",0.981,0.235,0.068,1.534,0.301,"0.915","0.17","0.002","1.465","0.236"
"SPL18","D3",0.266,0.11,0.068,0.462,0.12,"0.199","0.044","0.002","0.392","0.054"
"","D4",0.266,0.11,0.068,0.461,0.119,"0.2","0.044","0.003","0.391","0.053"
"SPL19","D5",0.451,0.144,0.071,0.767,0.166,"0.385","0.079","0.005","0.698","0.1"
"","D6",0.451,0.144,0.071,0.767,0.166,"0.385","0.079","0.005","0.698","0.1"
"SPL20","D7",0.889,0.232,0.07,1.486,0.275,"0.823","0.166","0.005","1.417","0.209"
"","D8",0.888,0.232,0.07,1.482,0.275,"0.822","0.166","0.005","1.412","0.209"
"BLK","D9",0.065,0.064,0.064,0.068,0.064,"-0.001","-0.002","-0.002","-0.001","-0.002"
"","D10",0.065,0.064,0.064,0.068,0.064,"-0.001","-0.002","-0.002","-0.001","-0.002"
"SPL21","D11",0.929,0.265,0.068,1.668,0.283,"0.863","0.199","0.002","1.598","0.217"
"","D12",0.928,0.265,0.069,1.667,0.283,"0.862","0.199","0.003","1.597","0.218"
"SPL22","E1",0.353,0.123,0.07,0.593,0.14,"0.287","0.058","0.004","0.524","0.074"
"","E2",0.353,0.123,0.07,0.593,0.14,"0.287","0.058","0.005","0.523","0.074"
"SPL23","E3",1.312,0.35,0.067,2.305,0.377,"1.246","0.284","0.001","2.236","0.312"
"","E4",1.31,0.35,0.067,2.303,0.377,"1.244","0.284","0.001","2.234","0.312"
"SPL24","E5",0.542,0.18,0.07,0.951,0.188,"0.476","0.114","0.004","0.881","0.123"
"","E6",0.542,0.18,0.07,0.951,0.189,"0.476","0.115","0.004","0.881","0.123"
"BLK","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
