"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.071,0.072,0.071,0.071,0.071,"0.000","0.001","0.000","-0.001","0.000"
"","A2",0.071,0.071,0.071,0.072,0.071,"-0.000","0.000","0.001","-0.001","0.001"
"SPL1","A3",0.494,0.145,0.074,0.667,0.184,"0.423","0.074","0.003","0.594","0.113"
"","A4",0.493,0.145,0.074,0.666,0.184,"0.422","0.074","0.003","0.593","0.113"
"SPL2","A5",0.873,0.212,0.073,1.169,0.282,"0.803","0.141","0.002","1.096","0.211"
"","A6",0.873,0.212,0.073,1.171,0.282,"0.802","0.141","0.002","1.098","0.212"
"SPL3","A7",0.451,0.141,0.075,0.626,0.174,"0.380","0.070","0.004","0.553","0.103"
"","A8",0.45,0.142,0.075,0.625,0.174,"0.379","0.071","0.004","0.553","0.103"
"SPL4","A9",0.29,0.113,0.074,0.384,0.131,"0.219","0.042","0.003","0.312","0.060"
"","A10",0.289,0.113,0.074,0.383,0.131,"0.218","0.042","0.003","0.311","0.060"
"SPL5","A11",0.317,0.114,0.07,0.422,0.136,"0.246","0.043","-0.001","0.350","0.065"
"","A12",0.317,0.114,0.07,0.423,0.136,"0.246","0.043","-0.000","0.350","0.066"
"SPL6","B1",0.418,0.137,0.069,0.604,0.155,"0.347","0.066","-0.002","0.532","0.085"
"","B2",0.417,0.137,0.069,0.604,0.156,"0.346","0.066","-0.002","0.532","0.085"
"SPL7","B3",0.678,0.185,0.07,0.918,0.228,"0.607","0.114","-0.001","0.846","0.157"
"","B4",0.675,0.185,0.07,0.917,0.228,"0.605","0.114","-0.001","0.845","0.157"
"SPL8","B5",0.501,0.147,0.07,0.689,0.183,"0.430","0.076","-0.001","0.616","0.112"
"","B6",0.499,0.147,0.07,0.688,0.183,"0.429","0.076","-0.000","0.615","0.112"
"SPL9","B7",0.569,0.177,0.075,0.761,0.199,"0.498","0.106","0.004","0.689","0.128"
"","B8",0.568,0.178,0.075,0.761,0.199,"0.498","0.107","0.004","0.688","0.129"
"SPL10","B9",0.293,0.11,0.069,0.4,0.127,"0.222","0.038","-0.002","0.327","0.056"
"","B10",0.293,0.11,0.069,0.4,0.127,"0.222","0.039","-0.001","0.327","0.056"
"BLK","B11",0.072,0.073,0.073,0.075,0.072,"0.002","0.002","0.002","0.003","0.001"
"","B12",0.072,0.073,0.072,0.075,0.072,"0.002","0.002","0.001","0.002","0.002"
"SPL11","C1",0.342,0.121,0.073,0.469,0.144,"0.271","0.050","0.003","0.397","0.073"
"","C2",0.342,0.121,0.074,0.47,0.144,"0.271","0.050","0.003","0.397","0.073"
"SPL12","C3",0.618,0.164,0.07,0.873,0.211,"0.547","0.093","-0.001","0.801","0.141"
"","C4",0.616,0.165,0.07,0.873,0.211,"0.545","0.094","-0.001","0.801","0.141"
"SPL13","C5",0.564,0.165,0.072,0.796,0.198,"0.493","0.094","0.001","0.723","0.128"
"","C6",0.563,0.165,0.072,0.795,0.198,"0.492","0.094","0.001","0.722","0.128"
"SPL14","C7",0.689,0.18,0.071,0.946,0.229,"0.618","0.109","0.001","0.874","0.158"
"","C8",0.689,0.18,0.072,0.946,0.229,"0.618","0.109","0.001","0.873","0.158"
"SPL15","C9",1.285,0.308,0.074,1.96,0.372,"1.215","0.237","0.004","1.888","0.301"
"","C10",1.283,0.308,0.075,1.958,0.372,"1.212","0.237","0.004","1.886","0.301"
"SPL16","C11",0.294,0.116,0.069,0.414,0.127,"0.223","0.045","-0.002","0.341","0.056"
"","C12",0.294,0.116,0.069,0.414,0.127,"0.223","0.045","-0.002","0.341","0.057"
"SPL17","D1",1.392,0.31,0.075,2.065,0.411,"1.321","0.239","0.005","1.992","0.340"
"","D2",1.39,0.31,0.076,2.063,0.411,"1.319","0.239","0.005","1.991","0.340"
"SPL18","D3",0.96,0.242,0.07,1.423,0.29,"0.889","0.171","-0.000","1.351","0.219"
"","D4",0.957,0.242,0.07,1.421,0.291,"0.886","0.171","-0.000","1.349","0.220"
"SPL19","D5",0.882,0.222,0.076,1.275,0.277,"0.811","0.151","0.006","1.203","0.206"
"","D6",0.877,0.221,0.077,1.273,0.277,"0.807","0.150","0.006","1.200","0.206"
