"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.067,0.067,0.067,0.07,0.067,-0.075,-0.024,-0.006,-0.129,-0.026
"","A2",0.067,0.067,0.067,0.07,0.067,-0.075,-0.024,-0.007,-0.128,-0.026
"SPL1","A3",0.542,0.182,0.067,0.864,0.195,0.399,0.091,-0.006,0.665,0.102
"","A4",0.542,0.182,0.067,0.865,0.195,0.4,0.091,-0.006,0.666,0.102
"SPL2","A5",0.734,0.298,0.133,1.213,0.301,0.591,0.207,0.059,1.014,0.209
"","A6",0.738,0.302,0.136,1.218,0.304,0.595,0.211,0.063,1.019,0.212
"SPL3","A7",0.292,0.128,0.069,0.474,0.131,0.15,0.036,-0.004,0.275,0.038
"","A8",0.295,0.131,0.071,0.478,0.133,0.152,0.039,-0.002,0.28,0.041
"SPL4","A9",0.375,0.138,0.066,0.62,0.145,0.233,0.046,-0.007,0.421,0.052
"","A10",0.376,0.139,0.066,0.621,0.145,0.233,0.047,-0.007,0.422,0.053
"SPL5","A11",0.677,0.189,0.067,1.083,0.219,0.535,0.098,-0.006,0.884,0.127
"","A12",0.676,0.189,0.067,1.081,0.219,0.533,0.097,-0.006,0.883,0.126
"SPL6","B1",0.566,0.183,0.068,0.84,0.199,0.424,0.091,-0.006,0.641,0.106
"","B2",0.566,0.183,0.068,0.839,0.199,0.423,0.091,-0.006,0.641,0.106
"SPL7","B3",0.662,0.195,0.07,0.981,0.222,0.52,0.104,-0.003,0.783,0.129
"","B4",0.661,0.195,0.071,0.981,0.222,0.519,0.104,-0.003,0.783,0.129
"SPL8","B5",0.645,0.21,0.075,1.052,0.225,0.503,0.119,0.002,0.853,0.132
"","B6",0.648,0.214,0.078,1.059,0.229,0.505,0.122,0.005,0.86,0.136
"SPL9","B7",0.996,0.324,0.085,1.592,0.331,0.853,0.232,0.012,1.393,0.238
"","B8",1.003,0.331,0.093,1.6,0.339,0.86,0.239,0.02,1.402,0.246
"SPL10","B9",0.392,0.147,0.073,0.637,0.155,0.249,0.055,-0.001,0.438,0.062
"","B10",0.392,0.148,0.073,0.638,0.156,0.249,0.056,0,0.439,0.063
"BLK","B11",0.066,0.065,0.064,0.071,0.065,-0.076,-0.027,-0.009,-0.128,-0.028
"","B12",0.067,0.065,0.064,0.071,0.065,-0.076,-0.026,-0.009,-0.128,-0.028
"SPL11","C1",0.949,0.247,0.066,1.422,0.294,0.806,0.156,-0.007,1.223,0.201
"","C2",0.949,0.247,0.067,1.422,0.294,0.807,0.156,-0.007,1.223,0.201
"SPL12","C3",0.379,0.137,0.067,0.62,0.148,0.236,0.045,-0.006,0.422,0.055
"","C4",0.379,0.136,0.067,0.621,0.148,0.236,0.045,-0.006,0.422,0.055
"SPL13","C5",1.131,0.289,0.071,1.745,0.343,0.988,0.198,-0.002,1.546,0.25
"","C6",1.131,0.29,0.072,1.746,0.343,0.989,0.199,-0.002,1.547,0.25
"SPL14","C7",0.309,0.125,0.073,0.454,0.134,0.167,0.034,-0.001,0.255,0.042
"","C8",0.31,0.126,0.073,0.454,0.135,0.167,0.034,0,0.255,0.042
"SPL15","C9",0.178,0.102,0.074,0.275,0.104,0.035,0.01,0.001,0.076,0.011
"","C10",0.182,0.107,0.078,0.279,0.108,0.04,0.015,0.005,0.081,0.016
"SPL16","C11",0.836,0.233,0.075,1.371,0.267,0.693,0.142,0.002,1.172,0.174
"","C12",0.837,0.234,0.076,1.373,0.268,0.694,0.143,0.003,1.174,0.175
"SPL17","D1",0.519,0.192,0.074,0.91,0.192,0.376,0.1,0,0.712,0.099
"","D2",0.523,0.197,0.077,0.917,0.197,0.38,0.105,0.004,0.718,0.105
"SPL18","D3",1.062,0.307,0.081,1.715,0.334,0.919,0.216,0.008,1.516,0.241
"","D4",1.066,0.314,0.087,1.725,0.341,0.924,0.223,0.013,1.526,0.248
"SPL19","D5",0.876,0.366,0.15,1.574,0.375,0.733,0.275,0.077,1.376,0.282
"","D6",0.906,0.398,0.174,1.599,0.395,0.763,0.306,0.1,1.4,0.302
"SPL20","D7",0.716,0.23,0.081,1.204,0.247,0.573,0.138,0.008,1.005,0.154
"","D8",0.721,0.236,0.085,1.214,0.253,0.579,0.144,0.012,1.016,0.16
"BLK","D9",0.083,0.078,0.076,0.091,0.078,-0.059,-0.014,0.003,-0.107,-0.015
"","D10",0.083,0.078,0.076,0.092,0.078,-0.059,-0.014,0.003,-0.107,-0.014
"SPL21","D11",0.641,0.195,0.07,1.062,0.215,0.499,0.103,-0.003,0.863,0.122
"","D12",0.641,0.195,0.071,1.063,0.215,0.499,0.103,-0.002,0.864,0.122
"SPL22","E1",1.374,0.392,0.076,2.109,0.418,1.232,0.3,0.002,1.91,0.325
"","E2",1.377,0.397,0.08,2.115,0.422,1.235,0.305,0.007,1.916,0.33
"SPL23","E3",0.281,0.123,0.075,0.407,0.13,0.138,0.032,0.001,0.208,0.037
"","E4",0.281,0.124,0.075,0.407,0.131,0.138,0.032,0.002,0.208,0.038
"SPL24","E5",1.142,0.331,0.079,1.714,0.358,1,0.239,0.006,1.515,0.265
"","E6",1.141,0.331,0.079,1.712,0.358,0.998,0.239,0.006,1.514,0.265
"BLK","E7",0.349,0.153,0.083,0.558,0.157,0.207,0.061,0.009,0.36,0.065
"","E8",0.356,0.16,0.089,0.566,0.164,0.214,0.069,0.016,0.367,0.071
