"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.07,0.071,0.07,0.072,0.07,"-0.003","-0.002","-0.002","-0.005","-0.002"
"","A2",0.07,0.071,0.071,0.072,0.07,"-0.003","-0.002","-0.002","-0.004","-0.002"
"SPL1","A3",0.727,0.208,0.076,1.092,0.242,"0.654","0.135","0.003","1.016","0.170"
"","A4",0.727,0.207,0.076,1.091,0.242,"0.653","0.135","0.003","1.015","0.170"
"SPL2","A5",0.758,0.212,0.071,1.009,0.257,"0.684","0.140","-0.002","0.932","0.185"
"","A6",0.757,0.212,0.071,1.008,0.257,"0.683","0.139","-0.001","0.932","0.184"
"SPL3","A7",1.25,0.277,0.074,1.954,0.366,"1.177","0.204","0.001","1.877","0.293"
"","A8",1.247,0.276,0.074,1.95,0.366,"1.173","0.203","0.002","1.874","0.293"
"SPL4","A9",1.593,0.355,0.084,2.47,0.467,"1.519","0.282","0.011","2.394","0.394"
"","A10",1.598,0.355,0.083,2.479,0.468,"1.524","0.282","0.011","2.403","0.396"
"SPL5","A11",1.449,0.33,0.077,2.297,0.418,"1.375","0.258","0.005","2.220","0.345"
"","A12",1.44,0.329,0.078,2.278,0.417,"1.366","0.256","0.005","2.202","0.344"
"SPL6","B1",0.507,0.155,0.073,0.791,0.183,"0.433","0.083","0.000","0.715","0.110"
"","B2",0.506,0.155,0.073,0.79,0.183,"0.432","0.082","0.001","0.714","0.110"
"SPL7","B3",1.253,0.28,0.071,1.86,0.364,"1.179","0.207","-0.002","1.783","0.292"
"","B4",1.25,0.279,0.071,1.858,0.364,"1.176","0.206","-0.002","1.781","0.292"
"SPL8","B5",0.327,0.124,0.075,0.499,0.14,"0.253","0.051","0.003","0.422","0.067"
"","B6",0.326,0.124,0.075,0.498,0.14,"0.253","0.051","0.003","0.422","0.067"
"SPL9","B7",0.611,0.172,0.073,0.952,0.208,"0.537","0.099","0.000","0.876","0.136"
"","B8",0.611,0.172,0.073,0.95,0.208,"0.537","0.099","0.000","0.873","0.136"
"SPL10","B9",0.403,0.133,0.073,0.609,0.159,"0.329","0.060","0.001","0.533","0.086"
"","B10",0.403,0.133,0.073,0.609,0.159,"0.329","0.060","0.001","0.532","0.086"
"BLK","B11",0.077,0.076,0.076,0.08,0.076,"0.004","0.004","0.004","0.004","0.004"
"","B12",0.078,0.076,0.076,0.08,0.076,"0.004","0.004","0.004","0.004","0.004"
"SPL11","C1",0.688,0.199,0.08,1.111,0.231,"0.614","0.126","0.007","1.035","0.159"
"","C2",0.688,0.199,0.079,1.112,0.232,"0.614","0.126","0.007","1.036","0.159"
"SPL12","C3",0.76,0.199,0.075,1.209,0.245,"0.686","0.126","0.002","1.132","0.172"
"","C4",0.756,0.198,0.074,1.209,0.245,"0.683","0.125","0.002","1.133","0.172"
"SPL13","C5",0.317,0.129,0.072,0.525,0.135,"0.243","0.056","-0.000","0.449","0.062"
"","C6",0.317,0.129,0.072,0.525,0.135,"0.243","0.056","-0.000","0.449","0.062"
"SPL14","C7",1.119,0.256,0.073,1.786,0.33,"1.045","0.183","0.001","1.710","0.257"
"","C8",1.116,0.256,0.073,1.787,0.331,"1.042","0.183","0.001","1.711","0.258"
"SPL15","C9",0.437,0.149,0.072,0.713,0.165,"0.363","0.076","-0.000","0.637","0.092"
"","C10",0.437,0.149,0.072,0.713,0.164,"0.363","0.076","-0.000","0.636","0.092"
"SPL16","C11",0.276,0.111,0.07,0.439,0.122,"0.202","0.038","-0.002","0.362","0.049"
"","C12",0.276,0.11,0.07,0.44,0.122,"0.202","0.038","-0.002","0.364","0.050"
"SPL17","D1",0.753,0.203,0.074,1.214,0.242,"0.679","0.130","0.002","1.137","0.170"
"","D2",0.752,0.203,0.075,1.216,0.243,"0.679","0.130","0.002","1.139","0.171"
"SPL18","D3",0.605,0.167,0.073,0.911,0.208,"0.531","0.094","0.001","0.835","0.136"
"","D4",0.605,0.167,0.073,0.911,0.208,"0.531","0.094","0.001","0.835","0.136"
"SPL19","D5",0.631,0.191,0.078,1.07,0.215,"0.557","0.119","0.006","0.994","0.143"
"","D6",0.631,0.191,0.079,1.07,0.215,"0.557","0.119","0.006","0.993","0.143"
"SPL20","D7",0.738,0.219,0.077,1.266,0.241,"0.664","0.146","0.005","1.189","0.168"
"","D8",0.736,0.217,0.077,1.266,0.241,"0.663","0.144","0.005","1.190","0.168"
"BLK","D9",0.073,0.071,0.07,0.077,0.071,"-0.001","-0.002","-0.002","0.001","-0.002"
"","D10",0.073,0.071,0.07,0.077,0.071,"-0.001","-0.002","-0.002","0.001","-0.001"
"SPL21","D11",1.469,0.362,0.077,2.388,0.426,"1.395","0.289","0.005","2.312","0.354"
"","D12",1.474,0.362,0.077,2.387,0.427,"1.400","0.290","0.005","2.311","0.354"
"SPL22","E1",0.595,0.19,0.08,0.951,0.213,"0.521","0.117","0.007","0.874","0.140"
"","E2",0.595,0.19,0.079,0.951,0.213,"0.521","0.117","0.007","0.875","0.140"
"SPL23","E3",1.567,0.376,0.077,2.418,0.457,"1.493","0.304","0.005","2.341","0.385"
"","E4",1.566,0.377,0.078,2.419,0.458,"1.492","0.305","0.006","2.343","0.385"
"SPL24","E5",0.46,0.15,0.072,0.703,0.172,"0.387","0.077","-0.000","0.626","0.099"
"","E6",0.46,0.15,0.072,0.703,0.172,"0.387","0.077","-0.000","0.627","0.100"
"SPL25","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL26","E9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL27","E11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL28","F1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL29","F3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL30","F5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","F7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL31","F9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL32","F11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL33","G1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL34","G3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL35","G5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL36","G7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL37","G9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL38","G11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL39","H1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL40","H3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","H5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL41","H7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL42","H9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL43","H11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
