"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.075,0.075,0.075,0.076,0.075,"-0.001","0.000","0.001","-0.002","0.000"
"","A2",0.075,0.075,0.075,0.076,0.075,"-0.001","0.000","0.001","-0.002","0.000"
"SPL1","A3",1.058,0.269,0.071,1.454,0.34,"0.982","0.195","-0.003","1.376","0.265"
"","A4",1.057,0.269,0.072,1.453,0.34,"0.981","0.195","-0.003","1.375","0.265"
"SPL2","A5",0.644,0.184,0.077,0.883,0.229,"0.568","0.109","0.002","0.805","0.154"
"","A6",0.644,0.184,0.077,0.884,0.23,"0.568","0.109","0.003","0.805","0.155"
"SPL3","A7",0.363,0.131,0.074,0.507,0.151,"0.287","0.056","-0.001","0.428","0.076"
"","A8",0.362,0.131,0.074,0.507,0.151,"0.286","0.056","-0.001","0.428","0.077"
"SPL4","A9",0.877,0.226,0.071,1.221,0.286,"0.801","0.151","-0.004","1.143","0.211"
"","A10",0.875,0.226,0.071,1.221,0.287,"0.799","0.151","-0.004","1.142","0.212"
"SPL5","A11",0.398,0.138,0.076,0.553,0.162,"0.322","0.063","0.001","0.474","0.087"
"","A12",0.398,0.138,0.075,0.552,0.162,"0.322","0.063","0.001","0.473","0.087"
"SPL6","B1",1.855,0.423,0.076,2.73,0.553,"1.779","0.348","0.001","2.651","0.478"
"","B2",1.855,0.425,0.076,2.73,0.553,"1.779","0.350","0.001","2.651","0.478"
"SPL7","B3",0.38,0.139,0.077,0.514,0.157,"0.304","0.065","0.002","0.436","0.082"
"","B4",0.38,0.139,0.078,0.515,0.157,"0.304","0.065","0.003","0.436","0.082"
"SPL8","B5",0.342,0.128,0.073,0.488,0.145,"0.266","0.053","-0.002","0.409","0.070"
"","B6",0.342,0.128,0.073,0.488,0.145,"0.265","0.053","-0.002","0.409","0.070"
"SPL9","B7",0.981,0.242,0.071,1.432,0.308,"0.905","0.168","-0.004","1.354","0.233"
"","B8",0.98,0.243,0.071,1.431,0.307,"0.904","0.168","-0.003","1.352","0.232"
"SPL10","B9",0.552,0.16,0.075,0.893,0.195,"0.476","0.085","0.000","0.815","0.120"
"","B10",0.553,0.16,0.075,0.892,0.195,"0.477","0.085","0.000","0.813","0.120"
"BLK","B11",0.074,0.072,0.072,0.077,0.072,"-0.002","-0.003","-0.003","-0.002","-0.003"
"","B12",0.074,0.072,0.072,0.077,0.072,"-0.002","-0.003","-0.003","-0.002","-0.003"
"SPL11","C1",0.326,0.125,0.074,0.461,0.14,"0.250","0.050","-0.001","0.382","0.065"
"","C2",0.327,0.126,0.074,0.461,0.141,"0.251","0.051","-0.001","0.383","0.066"
"SPL12","C3",0.352,0.132,0.077,0.515,0.149,"0.276","0.057","0.003","0.436","0.074"
"","C4",0.351,0.132,0.078,0.514,0.149,"0.275","0.058","0.003","0.436","0.074"
"SPL13","C5",0.326,0.12,0.072,0.536,0.136,"0.249","0.045","-0.003","0.457","0.061"
"","C6",0.326,0.12,0.072,0.535,0.136,"0.250","0.046","-0.002","0.456","0.061"
"SPL14","C7",0.383,0.131,0.075,0.569,0.154,"0.307","0.057","0.000","0.491","0.079"
"","C8",0.383,0.131,0.075,0.569,0.154,"0.307","0.057","0.000","0.490","0.080"
"SPL15","C9",0.469,0.142,0.073,0.681,0.173,"0.393","0.067","-0.002","0.602","0.099"
"","C10",0.467,0.142,0.073,0.682,0.174,"0.391","0.067","-0.002","0.603","0.099"
"SPL16","C11",0.404,0.148,0.075,0.574,0.161,"0.328","0.073","0.001","0.495","0.086"
"","C12",0.404,0.147,0.074,0.574,0.161,"0.328","0.072","-0.000","0.495","0.086"
"SPL17","D1",0.407,0.133,0.074,0.596,0.158,"0.331","0.059","-0.000","0.517","0.083"
"","D2",0.404,0.132,0.074,0.597,0.158,"0.328","0.058","-0.001","0.518","0.083"
"SPL18","D3",0.833,0.215,0.077,1.221,0.269,"0.757","0.140","0.002","1.142","0.194"
"","D4",0.834,0.213,0.077,1.222,0.27,"0.758","0.138","0.002","1.143","0.195"
"SPL19","D5",0.764,0.208,0.081,1.113,0.254,"0.688","0.133","0.006","1.034","0.179"
"","D6",0.762,0.207,0.081,1.111,0.254,"0.686","0.133","0.006","1.032","0.179"
"SPL20","D7",0.464,0.152,0.072,0.713,0.172,"0.388","0.077","-0.003","0.634","0.098"
"","D8",0.463,0.152,0.072,0.713,0.173,"0.387","0.077","-0.002","0.634","0.098"
"BLK","D9",0.079,0.077,0.077,0.083,0.077,"0.003","0.002","0.002","0.004","0.002"
"","D10",0.079,0.077,0.077,0.083,0.078,"0.003","0.003","0.003","0.004","0.003"
"SPL21","D11",0.403,0.134,0.077,0.617,0.158,"0.327","0.060","0.002","0.539","0.083"
"","D12",0.402,0.134,0.077,0.617,0.158,"0.326","0.060","0.003","0.538","0.083"
"SPL22","E1",0.366,0.147,0.074,0.51,0.16,"0.290","0.072","-0.000","0.431","0.085"
"","E2",0.364,0.147,0.075,0.509,0.16,"0.288","0.072","0.000","0.431","0.085"
"SPL23","E3",0.106,0.084,0.076,0.12,0.085,"0.030","0.009","0.002","0.041","0.010"
"","E4",0.106,0.084,0.077,0.12,0.085,"0.030","0.009","0.002","0.041","0.010"
"SPL24","E5",0.209,0.106,0.075,0.266,0.115,"0.133","0.031","0.000","0.187","0.040"
"","E6",0.21,0.106,0.076,0.267,0.115,"0.134","0.032","0.001","0.188","0.040"
"SPL25","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL26","E9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL27","E11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL28","F1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL29","F3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL30","F5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","F7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL31","F9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL32","F11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","F12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL33","G1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL34","G3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL35","G5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL36","G7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL37","G9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL38","G11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","G12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL39","H1",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H2",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL40","H3",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H4",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"BLK","H5",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H6",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL41","H7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL42","H9",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H10",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"SPL43","H11",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","H12",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
