"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.062,0.062,0.063,NA,NA,NA,NA,NA,NA,NA
"","A2",0.062,0.062,0.062,NA,NA,NA,NA,NA,NA,NA
"SPL1","A3",0.616,0.166,0.064,NA,NA,NA,NA,NA,NA,NA
"","A4",0.616,0.166,0.064,NA,NA,NA,NA,NA,NA,NA
"SPL2","A5",0.507,0.15,0.07,NA,NA,NA,NA,NA,NA,NA
"","A6",0.508,0.15,0.07,NA,NA,NA,NA,NA,NA,NA
"SPL3","A7",1.267,0.277,0.063,NA,NA,NA,NA,NA,NA,NA
"","A8",1.267,0.277,0.063,NA,NA,NA,NA,NA,NA,NA
"SPL4","A9",1.545,0.347,0.099,NA,NA,NA,NA,NA,NA,NA
"","A10",1.545,0.347,0.099,NA,NA,NA,NA,NA,NA,NA
"SPL5","A11",0.893,0.21,0.067,NA,NA,NA,NA,NA,NA,NA
"","A12",0.893,0.211,0.067,NA,NA,NA,NA,NA,NA,NA
"SPL6","B1",1.421,0.307,0.068,NA,NA,NA,NA,NA,NA,NA
"","B2",1.421,0.307,0.068,NA,NA,NA,NA,NA,NA,NA
"SPL7","B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL8","B5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL9","B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL10","B9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK","B11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL11","C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL12","C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL13","C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL14","C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL15","C9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL16","C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL17","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL18","D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL19","D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL20","D7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK","D9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL21","D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL22","E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL23","E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL24","E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK","E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
