"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.062,0.063,0.063,NA,NA,NA,NA,NA,NA,NA
"","A2",0.062,0.063,0.063,NA,NA,NA,NA,NA,NA,NA
"SPL1","A3",0.771,0.187,0.064,NA,NA,NA,NA,NA,NA,NA
"","A4",0.772,0.187,0.064,NA,NA,NA,NA,NA,NA,NA
"SPL2","A5",0.836,0.207,0.069,NA,NA,NA,NA,NA,NA,NA
"","A6",0.836,0.207,0.069,NA,NA,NA,NA,NA,NA,NA
"SPL3","A7",0.58,0.161,0.07,NA,NA,NA,NA,NA,NA,NA
"","A8",0.58,0.161,0.07,NA,NA,NA,NA,NA,NA,NA
"SPL4","A9",0.745,0.186,0.066,NA,NA,NA,NA,NA,NA,NA
"","A10",0.744,0.186,0.066,NA,NA,NA,NA,NA,NA,NA
"SPL5","A11",0.819,0.194,0.067,NA,NA,NA,NA,NA,NA,NA
"","A12",0.819,0.194,0.067,NA,NA,NA,NA,NA,NA,NA
"SPL6","B1",0.26,0.106,0.072,NA,NA,NA,NA,NA,NA,NA
"","B2",0.26,0.107,0.072,NA,NA,NA,NA,NA,NA,NA
"SPL7","B3",0.7,0.186,0.071,NA,NA,NA,NA,NA,NA,NA
"","B4",0.701,0.186,0.07,NA,NA,NA,NA,NA,NA,NA
"SPL8","B5",0.485,0.148,0.071,NA,NA,NA,NA,NA,NA,NA
"","B6",0.486,0.148,0.071,NA,NA,NA,NA,NA,NA,NA
"SPL9","B7",0.437,0.134,0.064,NA,NA,NA,NA,NA,NA,NA
"","B8",0.437,0.134,0.064,NA,NA,NA,NA,NA,NA,NA
"SPL10","B9",0.284,0.103,0.064,NA,NA,NA,NA,NA,NA,NA
"","B10",0.284,0.103,0.064,NA,NA,NA,NA,NA,NA,NA
"BLK","B11",0.068,0.068,0.068,NA,NA,NA,NA,NA,NA,NA
"","B12",0.068,0.068,0.068,NA,NA,NA,NA,NA,NA,NA
"SPL11","C1",0.233,0.104,0.069,NA,NA,NA,NA,NA,NA,NA
"","C2",0.233,0.105,0.069,NA,NA,NA,NA,NA,NA,NA
"SPL12","C3",0.471,0.137,0.065,NA,NA,NA,NA,NA,NA,NA
"","C4",0.472,0.137,0.065,NA,NA,NA,NA,NA,NA,NA
"SPL13","C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL14","C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL15","C9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL16","C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL17","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL18","D3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL19","D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL20","D7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK","D9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL21","D11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","D12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL22","E1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL23","E3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPL24","E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLK","E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
