"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.081,0.081,0.081,0.084,0.081,"0.006","0.006","0.006","0.006","0.006"
"","A2",0.081,0.081,0.081,0.084,0.081,"0.006","0.006","0.006","0.006","0.006"
"SPL1","A3",0.112,0.086,0.079,0.128,0.088,"0.037","0.010","0.004","0.051","0.013"
"","A4",0.112,0.086,0.079,0.128,0.088,"0.037","0.010","0.004","0.051","0.013"
"SPL2","A5",0.086,0.076,0.073,0.095,0.077,"0.011","0.000","-0.002","0.017","0.002"
"","A6",0.086,0.076,0.073,0.095,0.077,"0.011","0.001","-0.002","0.017","0.002"
"SPL3","A7",0.078,0.074,0.072,0.085,0.074,"0.003","-0.001","-0.003","0.007","-0.001"
"","A8",0.079,0.075,0.072,0.086,0.074,"0.004","-0.001","-0.003","0.008","-0.001"
"SPL4","A9",0.105,0.083,0.073,0.127,0.082,"0.030","0.008","-0.002","0.049","0.007"
"","A10",0.104,0.083,0.072,0.128,0.082,"0.029","0.007","-0.002","0.050","0.007"
"SPL5","A11",0.08,0.074,0.072,0.087,0.074,"0.005","-0.002","-0.003","0.009","-0.001"
"","A12",0.08,0.074,0.072,0.087,0.074,"0.005","-0.001","-0.003","0.009","-0.001"
"SPL6","B1",0.135,0.091,0.078,0.168,0.094,"0.060","0.016","0.003","0.090","0.019"
"","B2",0.135,0.091,0.078,0.168,0.094,"0.060","0.016","0.003","0.090","0.019"
"SPL7","B3",0.085,0.08,0.078,0.091,0.08,"0.010","0.005","0.003","0.013","0.005"
"","B4",0.085,0.08,0.079,0.091,0.08,"0.011","0.005","0.004","0.014","0.005"
"SPL8","B5",0.084,0.079,0.076,0.092,0.079,"0.009","0.004","0.001","0.014","0.004"
"","B6",0.084,0.079,0.076,0.092,0.079,"0.009","0.004","0.002","0.014","0.004"
