"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.075,0.074,0.073,0.079,0.074,0.003,0.002,0.001,0.004,0.002
"","A2",0.075,0.074,0.073,0.079,0.074,0.003,0.002,0.002,0.004,0.002
"SPL1","A3",0.093,0.079,0.074,0.104,0.08,0.021,0.007,0.002,0.03,0.008
"","A4",0.097,0.083,0.077,0.108,0.084,0.025,0.011,0.006,0.034,0.012
"SPL2","A5",0.184,0.106,0.085,0.268,0.118,0.112,0.034,0.013,0.194,0.046
"","A6",0.185,0.106,0.085,0.268,0.119,0.113,0.034,0.013,0.194,0.047
"SPL3","A7",0.092,0.077,0.073,0.11,0.081,0.02,0.005,0.001,0.036,0.009
"","A8",0.092,0.078,0.073,0.111,0.081,0.02,0.006,0.001,0.036,0.009
"SPL4","A9",0.127,0.104,0.094,0.155,0.106,0.055,0.032,0.023,0.081,0.034
"","A10",0.127,0.103,0.094,0.155,0.106,0.055,0.031,0.023,0.081,0.034
"SPL5","A11",0.148,0.108,0.095,0.179,0.111,0.076,0.036,0.024,0.105,0.039
"","A12",0.147,0.107,0.096,0.179,0.112,0.075,0.035,0.024,0.105,0.04
"SPL6","B1",0.091,0.077,0.072,0.104,0.077,0.019,0.005,0,0.03,0.006
"","B2",0.091,0.077,0.072,0.104,0.077,0.019,0.005,0,0.03,0.006
"SPL7","B3",0.089,0.077,0.071,0.103,0.076,0.017,0.005,0,0.029,0.005
"","B4",0.089,0.078,0.072,0.103,0.077,0.017,0.006,0,0.029,0.005
"SPL8","B5",0.119,0.085,0.075,0.147,0.088,0.047,0.013,0.004,0.073,0.017
"","B6",0.119,0.085,0.075,0.146,0.089,0.047,0.013,0.003,0.072,0.018
"SPL9","B7",0.105,0.085,0.077,0.125,0.085,0.033,0.013,0.005,0.051,0.014
"","B8",0.105,0.085,0.077,0.125,0.085,0.033,0.013,0.005,0.051,0.013
"SPL10","B9",0.086,0.075,0.071,0.1,0.077,0.013,0.003,0,0.026,0.005
"","B10",0.086,0.075,0.071,0.099,0.076,0.014,0.003,-0.001,0.025,0.004
"BLK","B11",0.071,0.071,0.072,0.072,0.071,-0.001,-0.001,0,-0.002,-0.001
"","B12",0.071,0.072,0.072,0.072,0.071,-0.001,0,0,-0.002,-0.001
"SPL11","C1",0.123,0.091,0.08,0.152,0.092,0.051,0.019,0.008,0.078,0.02
"","C2",0.124,0.091,0.08,0.152,0.092,0.052,0.019,0.008,0.078,0.02
"SPL12","C3",0.097,0.08,0.076,0.113,0.082,0.025,0.008,0.004,0.038,0.01
"","C4",0.097,0.081,0.076,0.113,0.083,0.025,0.009,0.005,0.039,0.011
"SPL13","C5",0.121,0.086,0.074,0.152,0.087,0.049,0.014,0.002,0.077,0.015
"","C6",0.121,0.086,0.074,0.152,0.087,0.049,0.014,0.002,0.077,0.015
"SPL14","C7",0.086,0.082,0.079,0.094,0.082,0.014,0.01,0.008,0.019,0.01
"","C8",0.086,0.082,0.079,0.094,0.082,0.014,0.01,0.007,0.02,0.01
"SPL15","C9",0.092,0.086,0.084,0.103,0.087,0.02,0.014,0.013,0.029,0.016
"","C10",0.092,0.086,0.085,0.103,0.087,0.02,0.014,0.013,0.028,0.015
"SPL16","C11",0.123,0.085,0.074,0.152,0.087,0.051,0.013,0.002,0.078,0.015
"","C12",0.123,0.085,0.074,0.152,0.088,0.051,0.013,0.003,0.078,0.016
"SPL17","D1",0.114,0.087,0.08,0.15,0.089,0.042,0.015,0.008,0.076,0.018
"","D2",0.114,0.086,0.079,0.15,0.089,0.042,0.014,0.007,0.075,0.018
"SPL18","D3",0.143,0.091,0.077,0.182,0.095,0.071,0.019,0.005,0.107,0.023
"","D4",0.143,0.09,0.077,0.182,0.095,0.071,0.018,0.005,0.107,0.023
"SPL19","D5",0.196,0.098,0.078,0.262,0.11,0.124,0.026,0.007,0.188,0.038
"","D6",0.197,0.098,0.078,0.262,0.11,0.125,0.026,0.007,0.188,0.038
"SPL20","D7",0.128,0.086,0.074,0.163,0.088,0.056,0.013,0.003,0.088,0.017
"","D8",0.128,0.085,0.075,0.163,0.089,0.056,0.013,0.003,0.089,0.017
"BLK","D9",0.073,0.072,0.073,0.074,0.072,0.001,0,0.001,0,0.001
"","D10",0.073,0.073,0.073,0.075,0.073,0.001,0.001,0.001,0.001,0.001
"SPL21","D11",0.119,0.084,0.076,0.145,0.087,0.047,0.012,0.004,0.07,0.015
"","D12",0.119,0.084,0.076,0.145,0.087,0.047,0.012,0.004,0.07,0.015
"SPL22","E1",0.123,0.087,0.076,0.151,0.089,0.051,0.015,0.004,0.077,0.017
"","E2",0.123,0.088,0.076,0.151,0.088,0.051,0.016,0.004,0.077,0.017
"SPL23","E3",0.085,0.078,0.076,0.091,0.079,0.013,0.006,0.005,0.017,0.007
"","E4",0.086,0.078,0.076,0.091,0.079,0.013,0.006,0.004,0.017,0.007
"SPL24","E5",0.124,0.093,0.083,0.15,0.094,0.052,0.021,0.011,0.075,0.022
"","E6",0.124,0.093,0.082,0.149,0.094,0.052,0.021,0.011,0.075,0.022
"BLK","E7",0.069,0.069,0.069,0.071,0.07,-0.003,-0.003,-0.003,-0.003,-0.002
"","E8",0.069,0.07,0.069,0.071,0.069,-0.003,-0.002,-0.003,-0.003,-0.003
