"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.072,0.072,0.073,0.073,0.072,"-0.028","-0.006","-0.001","-0.040","-0.008"
"","A2",0.072,0.073,0.073,0.074,0.073,"-0.028","-0.006","-0.001","-0.039","-0.008"
"SPL1","A3",0.088,0.081,0.08,0.094,0.082,"-0.013","0.003","0.005","-0.020","0.001"
"","A4",0.088,0.082,0.08,0.094,0.082,"-0.012","0.003","0.005","-0.020","0.001"
"SPL2","A5",0.089,0.076,0.07,0.103,0.075,"-0.011","-0.003","-0.004","-0.010","-0.005"
"","A6",0.089,0.076,0.07,0.103,0.075,"-0.011","-0.003","-0.004","-0.010","-0.005"
"SPL3","A7",0.081,0.075,0.073,0.089,0.075,"-0.020","-0.004","-0.001","-0.025","-0.006"
"","A8",0.081,0.076,0.073,0.089,0.075,"-0.019","-0.003","-0.001","-0.024","-0.006"
"SPL4","A9",0.077,0.073,0.071,0.084,0.073,"-0.023","-0.005","-0.003","-0.029","-0.008"
"","A10",0.077,0.074,0.071,0.085,0.073,"-0.023","-0.005","-0.003","-0.029","-0.008"
"SPL5","A11",0.082,0.078,0.076,0.088,0.077,"-0.019","-0.001","0.002","-0.025","-0.003"
"","A12",0.082,0.078,0.076,0.088,0.077,"-0.018","-0.000","0.002","-0.025","-0.003"
"SPL6","B1",0.088,0.077,0.073,0.1,0.077,"-0.013","-0.001","-0.001","-0.014","-0.004"
"","B2",0.088,0.078,0.073,0.1,0.077,"-0.013","-0.001","-0.001","-0.014","-0.003"
"SPL7","B3",0.089,0.08,0.074,0.102,0.079,"-0.011","0.001","0.000","-0.011","-0.002"
"","B4",0.089,0.08,0.075,0.102,0.079,"-0.011","0.001","0.001","-0.012","-0.002"
"SPL8","B5",0.086,0.077,0.073,0.098,0.077,"-0.014","-0.002","-0.001","-0.016","-0.004"
