"id","position","abs_663","abs_630","abs_750","abs_470","abs_646","blank_corrected_abs_663","blank_corrected_abs_630","blank_corrected_abs_750","blank_corrected_abs_470","blank_corrected_abs_646"
"BLK","A1",0.063,0.063,0.063,0.064,0.063,"-0.002","-0.001","-0.001","-0.002","-0.001"
"","A2",0.063,0.064,0.064,0.064,0.063,"-0.001","-0.001","-0.001","-0.002","-0.001"
"SPL1","A3",0.073,0.067,0.065,0.079,0.067,"0.008","0.003","0.000","0.013","0.003"
"","A4",0.073,0.067,0.065,0.079,0.067,"0.008","0.003","0.000","0.013","0.003"
"SPL2","A5",0.074,0.067,0.063,0.085,0.066,"0.009","0.002","-0.002","0.019","0.002"
"","A6",0.074,0.067,0.063,0.085,0.066,"0.010","0.002","-0.002","0.019","0.002"
"SPL3","A7",0.094,0.072,0.066,0.111,0.074,"0.030","0.008","0.002","0.044","0.010"
"","A8",0.094,0.072,0.066,0.111,0.074,"0.030","0.008","0.002","0.044","0.010"
"SPL4","A9",0.086,0.071,0.067,0.101,0.073,"0.022","0.007","0.002","0.035","0.008"
"","A10",0.086,0.071,0.067,0.101,0.073,"0.022","0.007","0.002","0.034","0.008"
"SPL5","A11",0.069,0.066,0.065,0.074,0.066,"0.004","0.002","0.000","0.007","0.001"
"","A12",0.069,0.066,0.065,0.073,0.066,"0.005","0.002","0.000","0.007","0.002"
"SPL6","B1",0.085,0.067,0.062,0.099,0.068,"0.020","0.002","-0.002","0.033","0.004"
"","B2",0.084,0.067,0.062,0.099,0.068,"0.020","0.002","-0.002","0.033","0.004"
"SPL7","B3",0.067,0.065,0.064,0.07,0.065,"0.002","0.000","-0.000","0.003","0.000"
"","B4",0.067,0.065,0.064,0.069,0.065,"0.002","0.000","-0.000","0.003","0.000"
"SPL8","B5",0.074,0.066,0.064,0.082,0.067,"0.010","0.002","-0.000","0.015","0.002"
"","B6",0.074,0.066,0.064,0.082,0.067,"0.010","0.002","-0.000","0.015","0.002"
"SPL9","B7",0.079,0.068,0.063,0.09,0.068,"0.014","0.003","-0.002","0.023","0.003"
"","B8",0.079,0.068,0.063,0.089,0.068,"0.015","0.003","-0.002","0.023","0.004"
"SPL10","B9",0.094,0.07,0.063,0.117,0.072,"0.029","0.006","-0.001","0.051","0.008"
"","B10",0.094,0.07,0.063,0.117,0.072,"0.030","0.006","-0.001","0.051","0.008"
"BLK","B11",0.066,0.066,0.067,0.068,0.066,"0.002","0.002","0.002","0.002","0.002"
"","B12",0.066,0.066,0.067,0.068,0.066,"0.002","0.002","0.002","0.002","0.002"
"SPL11","C1",0.089,0.071,0.066,0.108,0.073,"0.025","0.006","0.001","0.042","0.008"
"","C2",0.09,0.071,0.066,0.109,0.073,"0.025","0.006","0.001","0.042","0.008"
"SPL12","C3",0.079,0.068,0.065,0.089,0.068,"0.014","0.003","0.000","0.023","0.004"
"","C4",0.079,0.068,0.065,0.089,0.068,"0.014","0.003","-0.000","0.022","0.004"
"SPL13","C5",0.075,0.068,0.066,0.084,0.068,"0.011","0.003","0.001","0.018","0.004"
"","C6",0.075,0.069,0.066,0.084,0.068,"0.011","0.004","0.001","0.017","0.004"
"SPL14","C7",0.078,0.071,0.066,0.091,0.07,"0.014","0.007","0.002","0.025","0.006"
"","C8",0.078,0.071,0.066,0.092,0.07,"0.014","0.007","0.002","0.025","0.006"
"SPL15","C9",0.077,0.069,0.064,0.092,0.068,"0.012","0.005","-0.000","0.025","0.004"
"","C10",0.077,0.069,0.064,0.092,0.068,"0.013","0.005","-0.000","0.026","0.003"
"SPL16","C11",0.094,0.077,0.07,0.116,0.077,"0.030","0.013","0.005","0.050","0.013"
"","C12",0.094,0.077,0.07,0.116,0.077,"0.030","0.012","0.005","0.050","0.013"
"SPL17","D1",0.095,0.074,0.066,0.119,0.075,"0.031","0.010","0.002","0.053","0.010"
"","D2",0.095,0.074,0.066,0.119,0.075,"0.031","0.010","0.002","0.053","0.010"
"SPL18","D3",0.068,0.066,0.064,0.077,0.065,"0.004","0.002","-0.000","0.011","0.001"
"","D4",0.068,0.066,0.064,0.077,0.065,"0.004","0.002","-0.000","0.011","0.001"
"SPL19","D5",0.116,0.077,0.067,0.15,0.08,"0.051","0.012","0.002","0.084","0.016"
"","D6",0.115,0.076,0.067,0.151,0.081,"0.051","0.012","0.002","0.085","0.016"
"SPL20","D7",0.151,0.082,0.066,0.185,0.089,"0.086","0.017","0.001","0.119","0.024"
"","D8",0.151,0.082,0.066,0.185,0.089,"0.086","0.017","0.001","0.119","0.025"
"BLK","D9",0.064,0.064,0.064,0.067,0.064,"-0.000","-0.001","-0.001","0.000","-0.001"
"","D10",0.064,0.064,0.064,0.067,0.064,"-0.000","-0.000","-0.001","0.000","-0.000"
"SPL21","D11",0.196,0.091,0.069,0.257,0.101,"0.131","0.026","0.004","0.191","0.037"
"","D12",0.195,0.09,0.069,0.257,0.102,"0.131","0.026","0.004","0.190","0.037"
"SPL22","E1",0.1,0.073,0.067,0.12,0.076,"0.035","0.009","0.002","0.054","0.011"
"","E2",0.1,0.073,0.067,0.12,0.076,"0.035","0.009","0.002","0.054","0.012"
"SPL23","E3",0.279,0.107,0.073,0.387,0.125,"0.215","0.043","0.008","0.321","0.061"
"","E4",0.28,0.108,0.072,0.387,0.125,"0.215","0.043","0.008","0.320","0.060"
"SPL24","E5",0.117,0.073,0.063,0.151,0.078,"0.053","0.008","-0.001","0.085","0.013"
"","E6",0.117,0.073,0.063,0.151,0.078,"0.053","0.009","-0.001","0.085","0.014"
"BLK","E7",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
"","E8",NA,NA,NA,NA,NA,"?????","?????","?????","?????","?????"
