"sampling_date","t","coral_id","sample_id","bag_number","state","filename"
"14.08.23","2","TSAL38","2TSAL38P",293,"to do","2023_08_14_2TSAL38_P8141418_JPG.rf.56b5dd65a8ea62b651dcf96d6e320a63.jpg"
"14.08.23","2","TSPL17","2TSPL17P",278,"extracted","2023_08_14_2TSPL17_P8141334_JPG.rf.292af5011f04e42f9a01bcc804b0b4ba.jpg"
"14.08.23","2","TSPL18","2TSPL18P",281,"extracted","2023_08_14_2TSPL18_P8141348_JPG.rf.cdb8e0cbf35c28a3862b10b3604f4818.jpg"
"14.08.23","2","TSPL20","2TSPL20P",274,"extracted","2023_08_14_2TSPL20_P8141314_JPG.rf.d36190fce702e06a9a9b98e0f29597cc.jpg"
"14.08.23","2","TSPL21","2TSPL21P",282,"extracted","2023_08_14_2TSPL21_P8141359_JPG.rf.0950797147ebcc335961f5f804896ab2.jpg"
"14.08.23","2","TSPL39","2TSPL39P",279,"extracted","2023_08_14_2TSPL39_P8141338_JPG.rf.0b5412c46441552624760231a74238b6.jpg"
"14.08.23","2","TSPL41","2TSPL41P",286,"to do","2023_08_14_2TSPL41_P8141384_JPG.rf.6250df6735ae07efc748e12073c9933b.jpg"
"14.08.23","2","TSPL42","2TSPL42P",287,"to do","2023_08_14_2TSPL42_P8141390_JPG.rf.cf56c5c2f0c2d6f9f34f5fb7d277b5e7.jpg"
"15.08.23","2","ESML23","2ESML23P",296,"extracted","2023_08_15_2ESML23_P8151443_JPG.rf.f680786b32be8801412431cff1f2d37b.jpg"
"15.08.23","2","ESML32","2ESML32P",307,"extracted","2023_08_15_2ESML32_P8151511_JPG.rf.49497a4fae1e9d762b59a7098ea93f41.jpg"
"21.08.23","2","TSAL39","2TSAL39P",370,"extracted","2023_08_21_2TSAL39_P8211883_JPG.rf.e2e69771c913368142bf4b3eb087dc0f.jpg"
"21.08.23","2","TSAL40","2TSAL40P",372,"extracted","2023_08_21_2TSAL40_P8211891_JPG.rf.36b3d71cd094f78586ccf5164e9e9b1a.jpg"
"22.08.23","2","TSML34","2TSML34P",406,"extracted","2023_08_22_2TSML34_P8221967_JPG.rf.75d200e9c605d28c669efd7a05327f6c.jpg"
"22.08.23","2","TSML35","2TSML35P",384,"extracted","2023_08_22_2TSML35_P8221971_JPG.rf.972713c618132c3d3012d6e8e1cd1025.jpg"
"22.08.23","2","TSML36","2TSML36P",385,"extracted","2023_08_22_2TSML36_P8221976_JPG.rf.26375dac73a5366130f26f937ac71365.jpg"
"22.08.23","2","TSML37","2TSML37P",386,"extracted","2023_08_22_2TSML37_P8221978_JPG.rf.b3fe626276ca3dcafcf41862be4d4a2d.jpg"
"22.08.23","2","TSML38","2TSML38P",387,"extracted","2023_08_22_2TSML38_P8221985_JPG.rf.4026b4f4075ae790655f9eac58159485.jpg"
"22.08.23","2","TSML39","2TSML39P",388,"extracted","2023_08_22_2TSML39_P8221990_JPG.rf.bc24d4d52b302adea41cfdaf352911b5.jpg"
"22.08.23","2","TSML40","2TSML40P",389,"extracted","2023_08_22_2TSML40_P8232177_JPG.rf.44f499a4732113adf515ca2cd163c169.jpg"
"23.08.23","2","TSAL41","2TSAL41P",407,"extracted","2023_08_23_2TSAL41_P8232219_JPG.rf.0b797c557ecc6249f2015bc0870c2d26.jpg"
"23.08.23","2","TSAL42","2TSAL42P",408,"to do","2023_08_23_2TSAL42_P8232225_JPG.rf.ca9f203803415eb6c718c25daf8787a9.jpg"
"23.08.23","2","TSAL43","2TSAL43P",409,"to do","2023_08_23_2TSAL43_P8232228_JPG.rf.0516020de01b8214966c13b1a5d6549f.jpg"
"29.08.23","2","TSAL44","2TSAL44P",449,"to do","2023_08_29_2TSAL44_P8292432_JPG.rf.8367409f80d152ede66678cd7e0c21ff.jpg"
