"sampling_date","t","coral_id","sample_id","bag_number","state","filename"
"02.08.23","2","ESAL11","2ESAL11P",29,"to do","2023_08_02_2ESAL11_P8020137_JPG.rf.83ad39a66a45b753a47fd87b5f25552a.jpg"
"02.08.23","2","ESAL12","2ESAL12P",5,"to do","2023_08_02_2ESAL12_P8020005_JPG.rf.67ae94b06d71af438492cbe6b505a473.jpg"
"02.08.23","2","ESAL13","2ESAL13P",21,"to do","2023_08_02_2ESAL13_P8020089_JPG.rf.43d60773abddbe7379f386ad96140aa9.jpg"
"02.08.23","2","ESML11","2ESML11P",7,"to do","2023_08_02_2ESML11_P8020017_JPG.rf.a9dae3a6632c067882f0f4270a5d7922.jpg"
"02.08.23","2","ESML12","2ESML12P",6,"to do","2023_08_02_2ESML12_P8020011_JPG.rf.1fb35c95c0bf11b2313ae57e28a7696e.jpg"
"02.08.23","2","ESML14","2ESML14P",10,"to do","2023_08_02_2ESML14_P8020035_JPG.rf.dde7236733e789a858965aefa529ca4b.jpg"
"02.08.23","2","ESML15","2ESML15P",34,"to do","2023_08_02_2ESML15_P8020171_JPG.rf.24b3637cb8ddca26b9255ef8918a7601.jpg"
"02.08.23","2","ESML16","2ESML16P",12,"to do","2023_08_02_2ESML16_P8020046_JPG.rf.83561619e552e83cae87d7eadbf0147f.jpg"
"02.08.23","2","ESML17","2ESML17P",13,"to do","2023_08_02_2ESML17_P8020051_JPG.rf.873eccba6e5b340fe2016ba663f1e958.jpg"
"02.08.23","2","ESPL03","2ESPL03P",15,"to do","2023_08_02_2ESPL03_P8020065_JPG.rf.706a5a352c4cddf8481b8fc79b234b28.jpg"
"02.08.23","2","ESPL05","2ESPL05P",9,"to do","2023_08_02_2ESPL05_P8020025_JPG.rf.5b3c60472f56b515f370aab120230646.jpg"
"02.08.23","2","ESPL06","2ESPL06P",14,"to do","2023_08_02_2ESPL06_P8020059_JPG.rf.b54cb8b0fad6340dfadd5075b111129c.jpg"
"02.08.23","2","ESPL07","2ESPL07P",19,"to do","2023_08_02_2ESPL07_P8020079_JPG.rf.6b9d410373a8c2355c3c882b183fa4f9.jpg"
"02.08.23","2","ESPL09","2ESPL09P",22,"to do","2023_08_02_2ESPL09_P8020095_JPG.rf.ccbf5430e16cfae4dda30ba58c77c8af.jpg"
"02.08.23","2","ESPL18","2ESPL18P",23,"to do","2023_08_02_2ESPL18_P8020099_JPG.rf.9a116614676994cb0b731f73b3cfee24.jpg"
"02.08.23","2","ESPL19","2ESPL19P",25,"to do","2023_08_02_2ESPL19_P8020109_JPG.rf.7b6645d196ace5f0ec9e94811540c122.jpg"
"02.08.23","2","ESPL22","2ESPL22P",26,"to do","2023_08_02_2ESPL22_P8020114_JPG.rf.b747bc916048eedab4d4b4e8dd5e774b.jpg"
"02.08.23","2","ESPL23","2ESPL23P",24,"to do","2023_08_02_2ESPL23_P8020104_JPG.rf.3a5215fce051202073e08ec9cefc09ed.jpg"
"03.08.23","2","TSAL06","2TSAL06P",90,"extracted","2023_08_03_2TSAL06_P8030325_JPG.rf.223434bbda893889897ef6ced3bd72d2.jpg"
"03.08.23","2","TSAL07","2TSAL07P",89,"extracted","2023_08_03_2TSAL07_P8030321_JPG.rf.c884d7b3bbd574a141e7d2fba78729c1.jpg"
"03.08.23","2","TSAL09","2TSAL09P",80,"extracted","2023_08_03_2TSAL09_P8030268_JPG.rf.327c9527e7c691bd94770acc49afaee0.jpg"
"03.08.23","2","TSML26","2TSML26P",87,"extracted","2023_08_03_2TSML26_P8030309_JPG.rf.740446ef9b338911e314434e8e28c22c.jpg"
